,Artist,Title,spotify_id,acousticness,dancability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,isTop100
25,Fever Ray,I'm Not Done,5bhgC6aNOJIt5PVTrmuwu1,0.0364,0.666,0.647,0.754,7,0.0698,-9.308,1,0.0398,117.004,0.684,0
26,Orquesta Broadway,La Sitiera,4P7iGBOMg9Q5vaW0tGoijX,0.795,0.388,0.39,0,4,0.084,-10.339,1,0.0303,96.717,0.761,0
27,David Martin,It Must Be,7IbnEAsger0BkX2Kxjh97W,0.412,0.436,0.502,1.67E-05,0,0.0845,-9.406,1,0.028,134.003,0.207,0
28,Dilated Peoples,Big Business,6TIsvuHfZmapjP2R5f0k5s,0.462,0.705,0.852,1.93E-06,11,0.112,-8.157,1,0.291,97.254,0.696,0
29,Warren Barfield,Shadow,6O7jjBh7jighpPiZfx70zw,0.0159,0.69,0.761,0,11,0.342,-6.866,1,0.0442,117.961,0.774,0
30,MN,The Truth,0tuAajBbpy3KuTPSO8UtiD,0.81,0.113,0.000255,0.927,9,0.112,-42.93,0,0.0584,66.773,0.0372,0
31,Checkers,Oh Oh Oh Baby,2SfqR1BSqE6U8EJsWNtR56,0.927,0.55,0.465,0,1,0.296,-10.051,1,0.0628,134.367,0.771,0
32,Los Iracundos,Adios...Borron Y Cuenta Nueva,7fIYzNU3rW4MsugX8ExICE,0.242,0.276,0.497,0,2,0.172,-10.462,1,0.0429,184.598,0.526,0
33,John And The Bluesbreakers Mayall,A Hard Road,2DVswRuJlXu4QiZQfOoIx7,0.442,0.221,0.372,0.686,10,0.339,-15.606,1,0.0446,199.803,0.775,0
34,Hevia,San Xuan,22BXu23K0pOax7YToVNGD0,0.00404,0.613,0.924,0.353,0,0.282,-5.834,1,0.0667,124.998,0.574,0
35,Babbie Mason,Isn't That Just Like God (Low Key Performance Track Without Background Vocals),4I8YlIJ39tGkMdsfiHmx3E,0.785,0.73,0.162,0.903,2,0.0703,-18.222,1,0.0481,141.028,0.0707,0
36,Benabar,Le Zoo De Vincennes,5mRkxtmvuJDTzo1snwmZX4,0.701,0.602,0.462,1.22E-05,4,0.096,-11.364,0,0.0633,131.784,0.449,0
37,Champion Jack Dupree,Christina Christina Blues,4NBHWCz7bmGwRXNqN9ychq,0.988,0.619,0.14,0.0666,8,0.119,-18.692,1,0.0478,95.478,0.208,0
38,Tommy James & The Shondells,Crimson And Clover,5jfgilRtwvpSfZyKkqIGNW,0.0837,0.369,0.532,0.225,11,0.226,-11.823,1,0.0864,79.801,0.552,0
39,Bally Sagoo,Mele Wich Ayee (Shaan Remix),1oMlSWNUMptnh4aqr2LewG,0.0351,0.773,0.567,0.201,6,0.054,-13.135,0,0.112,111.958,0.679,0
40,Z.Z. Hill,Faithful and True (Collectors Version),2eHSUWp5Tbka5OY10zPNbV,0.636,0.449,0.601,0.00237,10,0.106,-8.184,1,0.0286,146.983,0.677,0
41,Tina Britt,He Put The Hurt On Me,00XLMX66CUPA2TUn4thehG,0.316,0.707,0.829,0,3,0.105,-7.092,1,0.0379,118.9,0.975,0
42,The Prodigy,Music Reach (1/2/3/4) (Remastered),0GuZLf8JuZbQ3qxdmHk5KJ,0.00671,0.545,0.947,0.749,6,0.119,-4.975,0,0.0659,143.948,0.734,0
43,Deborah Allen,I Will Always Love You,48Zo0bfmxeqjsQzNv9mFEy,0.771,0.382,0.14,2.49E-06,6,0.13,-9.727,1,0.0293,132.916,0.186,0
44,Ty Herndon;Stephanie Bentley,Heart Half Empty,5zl68dXglApV0bFoNNxR2Y,0.106,0.585,0.366,0.886,10,0.38,-9.689,1,0.0282,74.566,0.299,0
45,Chimaira,The Flame,1QBAVaOvAXrcFgA4JK8JwH,0.000308,0.471,0.971,5.21E-05,7,0.437,-5.253,1,0.143,150.055,0.116,0
46,The Winans,Everything You Touch Is a Song,0nFEeSOwXfkYKSShg2RR1V,0.849,0.462,0.249,2.63E-05,8,0.0904,-16.04,1,0.043,102.579,0.183,0
47,Luiz Bonfa,A Brazilian in New York,4zk4Xi6arVXhlxsSoQaov2,0.939,0.496,0.17,0.657,4,0.114,-18.303,0,0.0449,104.311,0.251,0
48,Mack and Jamie,Slimy Little Troll,4l41deLoVWpk7F7bUbVRuc,0.836,0.659,0.258,0,5,0.267,-13.83,0,0.941,81.549,0.77,0
49,Jerry Goldsmith,First Blood,3vHMrWEYj0WC7awjd89oOI,0.572,0.52,0.487,0.946,8,0.108,-18.099,1,0.0307,112.7,0.307,0
50,Charley Patton,Moon Going Down,2373j7LFUJg87hjC1hxXqE,0.994,0.618,0.275,0.418,10,0.116,-14.77,1,0.0394,108.894,0.483,0
51,Ensiferum,Hero In A Dream,0hZhkqtHQzrNJ49N65SWTP,1.16E-05,0.438,0.969,0.4,7,0.229,-2.605,1,0.131,100.002,0.527,0
52,The Race,Raising Children,48PZotW1r8cuMXYVWvFOqF,0.000129,0.365,0.772,0,11,0.273,-4.174,0,0.0369,119.054,0.508,0
53,Neviss,Epilog,1AGRHaBRjMsVmDlKdGID9X,0.934,0.814,0.0649,0.0209,0,0.587,-24.801,0,0.951,100.539,0.73,0
54,Martin Sexton,Ice Cream Man,4SCo2XMEPLfuDId2HP6HrA,0.0416,0.628,0.659,0.000554,8,0.977,-8.664,0,0.0728,133.811,0.42,0
55,Yahir,No seamos tontos,4s6HBwzzhl5Oe8Z86azOis,0.641,0.583,0.719,0,0,0.113,-5.598,1,0.0267,131.927,0.347,0
56,Brian Dullaghan,My First Day At School,7Kk7Cw3vyQxZWdFThsC6vQ,0.428,0.683,0.287,5.93E-05,2,0.105,-21.844,1,0.0446,61.495,0.654,0
57,Der Plan,De Kommissar 1,6RHtzn1xiITm1uIZuZrPaH,0.915,0.405,0.00812,0.993,2,0.0906,-14.093,1,0.0576,137.939,0.499,0
58,Chango Spasiuk,De Bombacha Y Alpargatas,1R75Wj74fCOI0H8TWFR3UV,0.0272,0.653,0.523,0.858,2,0.243,-13.112,1,0.221,97.505,0.51,0
59,Peggy Zina,O Hiroteros Ehthros Mou,1t1PvHrY3Guv2sbbWN57Yl,0.42,0.699,0.742,0,7,0.051,-6.22,0,0.0392,95.934,0.853,0
60,J.J. Cale,Midnight In Memphis,2OXDdCck0bMDIUCpaIMBJS,0.14,0.759,0.426,0.764,0,0.0733,-14.165,1,0.0346,111.335,0.858,0
61,DJ Spinn,Feelin You,7j6NLGVKlzRwpeZ2CUaZna,0.00412,0.776,0.382,0.863,4,0.0786,-6.089,1,0.322,160.08,0.704,0
62,Theodis Ealey,This Time I Know,2GLbUTiEEkrvsvMDh8zuM1,0.0651,0.758,0.638,0,1,0.0715,-6.95,1,0.0273,99.234,0.673,0
63,Janet Paschal,God Will Make A Way,5KFl6V1IO2kfzQnLXUwx2s,0.706,0.367,0.259,0,7,0.144,-11.262,1,0.0347,121.942,0.158,0
64,Souls Of Mischief,Spark,1QAXT9r1f8cLQtuaEAwW2A,0.0555,0.601,0.701,0,7,0.152,-6.027,1,0.469,92.183,0.648,0
65,Raze,Follow Your Dreams (The Plan Album Version),0dfncGnaBY81dfwXkyJmbr,0.0666,0.757,0.875,1.53E-05,6,0.339,-3.252,1,0.0376,108.841,0.94,0
66,Bad Brains,Destroy Babylon,4KNxYUdIDJXS7pOZTH34Sk,4.15E-05,0.283,0.985,0.549,5,0.33,-9.712,0,0.0706,90.046,0.161,0
67,Everyday Sunday,Don't Leave,1EGDnBDjENMyOnr7sGccVK,0.000175,0.464,0.696,0,7,0.258,-7.197,1,0.0288,102.988,0.235,0
68,Dora The Explorer,Travel Song (Reprise),4YCOex6saOzBffMoaolHwn,0.654,0.826,0.881,0.435,2,0.0841,-6.637,1,0.0593,124.026,0.926,0
69,Britney Spears,Don't Go Knockin' On My Door,3HTkB9Nk04MJHkG0X6cL2R,0.23,0.808,0.761,0,10,0.674,-5.614,0,0.0512,110.965,0.92,0
70,Skeletonwitch,Sacrifice for the Slaughtergod,5i77pceaf42t8flEZAu5ua,0.00483,0.18,0.972,0.747,0,0.142,-5.067,1,0.148,202.722,0.454,0
71,Slightly Stoopid,Jimi Baby,04uGsEzXnvFxNtZzGzyuqn,0.00549,0.369,0.595,0.478,9,0.48,-10.736,1,0.0468,171.986,0.35,0
72,John Michael Talbot,Pass Through My Will,4xRitqEi45HcLEE7vZbA6Q,0.919,0.551,0.054,0.00862,2,0.109,-20.479,0,0.0425,99.083,0.188,0
73,Maximilian Hecker,Full Of Voices,0V7kh44COZmCoYYXRmQIMD,0.0874,0.254,0.799,0.0126,8,0.943,-8.418,1,0.0959,195.006,0.387,0
74,True Believers,I Worship You,5tDproI9AV1tBgep4f2qsf,0.154,0.535,0.444,0,4,0.0971,-8.368,1,0.0306,92.984,0.24,0
75,Charlie Cruz,Si No Te Hubieras Ido,7kF3jIaZ8qVGOELgEa11HJ,0.448,0.74,0.954,0.000915,2,0.0368,-2.161,1,0.047,100.326,0.83,0
76,Whitesnake,Fool For Your Loving,0BdTZNyYnSIDmkqjxSB0ef,0.00171,0.503,0.943,4.10E-05,9,0.253,-4.951,0,0.0403,125.861,0.536,1
77,Los Abuelos De La Nada,Lunes Por La Madrugada,7apYwJV3tpnWuMerlg0Kfx,0.0206,0.613,0.655,1.16E-06,2,0.224,-9.229,1,0.0288,138.854,0.557,0
78,Babylon Disco,Error,4Jfg3AMCUHfIYQEQQ3D5Qs,0.000142,0.257,0.797,0.893,10,0.527,-11.055,0,0.11,179.966,0.0649,0
79,Ulytau,Winter (Four Seasons),263jGd00YLPAaX7YMuOby7,0.0474,0.552,0.737,0.723,5,0.0794,-5.389,0,0.0324,140.063,0.572,0
80,Dave Eggar,Wave,1CkaBqn1CwsP7B6rT7Dex3,0.986,0.212,0.0209,0.905,1,0.106,-22.091,1,0.0463,202.326,0.11,0
81,Ray Kane,Wa'ahila (Instrumental - Bonus Track),1M16dGUQCg5LGELLpaQHog,0.993,0.548,0.249,0.897,0,0.105,-15.926,1,0.0285,81.83,0.185,0
82,Fudge Tunnel,Bed Crumbs,1ndw8bzNJ6WYgeNCGumIbr,3.30E-06,0.206,0.92,0.753,11,0.119,-13.236,1,0.0497,105.099,0.281,0
83,Donnie Brooks,What'd I Say,1WOkXzgyT5X6XnCso6dCr4,0.589,0.531,0.81,0,11,0.348,-11.199,0,0.109,114.73,0.587,0
84,Kelly Clarkson,My Life Would Suck Without You,4Dm32oO01YpIubCHaAtKkN,0.0014,0.526,0.882,0,9,0.144,-4.006,1,0.0509,144.982,0.424,1
85,Edgar Bori,J'l'ai pas dit,1rIRn4GbzsY0ihchYT0kRu,0.761,0.666,0.42,0.000296,6,0.0893,-7.414,0,0.0433,118.091,0.517,0
86,The Nelons,Hallelujah,5junyRfqnozdjSv85rKWXP,0.67,0.271,0.408,0,7,0.12,-7.695,0,0.0281,82.035,0.307,0
87,Tanto Metro & Devonte,Sometimes,5YU0i7JcEkeV7zcbVFBdpr,0.0273,0.525,0.453,0,9,0.214,-7.259,0,0.0264,138.486,0.181,0
88,The Exies,Creeper Kamikaze,2O1mCn7VJjelc8Xr5TAWkG,0.0176,0.471,0.765,0,10,0.108,-4.83,0,0.0335,113.034,0.293,0
89,2raumwohnung,Ja (Hanno's Poppersmonstermix),4Fs0EGupveiqrimMBmlz67,0.0881,0.815,0.416,0.647,9,0.111,-9.413,1,0.056,126.004,0.328,0
90,Eliane Elias,No More Blues (Chega de Saudade),3uXNKW1EAcOxMc2BiiBjRp,0.853,0.436,0.263,0.917,8,0.133,-24.027,1,0.0315,113.231,0.653,0
91,Jesse Malin and The St. Marks Social,Revelations,2RxR2gagL8ouaLHdPB2FFW,0.0149,0.476,0.921,0.000206,9,0.0679,-4.771,1,0.052,126.016,0.364,0
92,Stanley Clarke,Journey To Love,5rt1JXfJFIJOlzf0HpuPDv,0.6,0.623,0.346,0.286,2,0.0784,-15.779,1,0.0342,126.267,0.468,0
93,Zombie Girl,I Want It,1Aw4wEcRorA2Y7wyBgxEmX,0.0531,0.514,0.959,0.33,0,0.0753,-5.517,1,0.0422,129.991,0.408,0
94,Der Moderne Man,Blaue Matrosen (live),5pQka9AGg3S0ovoVkM6JQ4,0.795,0.322,0.713,0,4,0.599,-8.703,1,0.0743,104.841,0.464,0
95,GG Allin,I Live to Be Hated,4CTnHRHGESz2nsJ2IuFhYy,0.0504,0.215,0.898,0.0169,8,0.338,-11.523,1,0.321,148.923,0.209,0
96,Dino,Chariots Of Fire,2FT8sUtqni4l0O3lFdcWCb,0.524,0.476,0.155,0.918,0,0.0791,-20.471,1,0.0346,125.191,0.0474,0
97,Ma Rainey,Ma Rainey's Black Bottom,3ftGs8ddu8Y6OiN9ooAPCF,0.992,0.662,0.272,7.17E-06,1,0.501,-10.825,0,0.0486,99.688,0.728,0
98,La Portuaria,Alguna Vez,13Sh5MAlGQrKyOMBY3hog8,0.0094,0.593,0.769,0.226,4,0.116,-14.145,1,0.039,112.039,0.959,0
99,Spinal Tap,The Majesty Of Rock,34VrvyaAKYgl7bBWCN4Lq8,0.000481,0.507,0.946,0.0675,9,0.244,-4.977,1,0.115,128.058,0.465,0
100,Buzzcocks,Strange Thing,5eWyfJipdqtHPpZ6s2TMTv,3.54E-06,0.297,0.96,0.543,4,0.0919,-7.103,1,0.0695,168.625,0.462,0
101,3 Doors Down,It's Not Me,4Ade7jYfOfh7T9Bag0THDH,0.00157,0.397,0.81,0.00208,4,0.172,-4.162,0,0.0416,174.477,0.363,0
102,Hemdale,Rotting Fumes,2iwslpEC92mXl5IPwwIq9h,0.000703,0.32,0.606,0.873,1,0.136,-9.987,1,0.255,171.983,0.218,0
103,Gus Viseur,Fausse monnaie,1z3gtrPqmxjcaIY8Wphneu,0.949,0.65,0.38,0.505,2,0.316,-10.342,0,0.0733,178.836,0.85,0
104,Papa Wemba,Maria,0tUTU0myVS8HFdvaKlPW5k,0.0547,0.597,0.618,8.66E-06,4,0.0945,-14.099,0,0.0299,94.968,0.961,0
105,Pride Tiger,56 Days,7wvbrsdRKckwxT1MeIKe7I,0.002,0.481,0.943,0,11,0.291,-2.041,1,0.0635,114.095,0.53,0
106,Winston Reedy,Daughter Of Zion,5MbzIUTF68YbDT27pmn3FE,0.0346,0.685,0.463,0.0453,6,0.0636,-8.355,0,0.0614,76.858,0.558,0
107,John Hammond,Come To Find Out,0rLIwDUdFv0mkAxng3tFH4,0.687,0.503,0.399,6.04E-06,4,0.101,-7.468,0,0.0343,89.638,0.334,0
108,Ten Years After,Victim Of Circumstance,0IB89oEkt8e3XLaxiuNXPZ,0.146,0.624,0.797,0.471,5,0.131,-10.684,1,0.0312,122.437,0.937,0
109,Helen Love,Bubblegum,22Kwrdj3rLOhhe8BdDcwqA,9.68E-05,0.418,0.84,0.000298,1,0.257,-3.868,1,0.0427,171.99,0.942,0
110,Pablo Montero,Ni Gota De Rencor,3iJQBZ2WqZnG10kE5O9GhJ,0.806,0.595,0.375,0,2,0.0955,-7.333,1,0.0256,99.756,0.729,0
111,Tom Petty And The Heartbreakers,Mary Jane's Last Dance,3dmqIB2Qxe2XZobw9gXxJ6,0.0272,0.464,0.655,1.34E-06,7,0.328,-9.058,0,0.0608,169.515,0.531,1
112,Richard Galliano,French Touch,0j76pRswCmPx29M2qW2B2Z,0.0329,0.644,0.644,0.0858,9,0.199,-6.07,0,0.0537,100.682,0.385,0
113,Steve Wilson,Your God Isn't Listening,5rJlXg5oPN9hyQD8gwiqu0,0.156,0.566,0.399,0.000247,7,0.299,-14.498,1,0.0244,99.982,0.572,0
114,The Presets,Yippiyo-Ay,1KK0WMdloEteqJZW2yWohr,0.0562,0.696,0.94,0.00156,2,0.11,-3.967,1,0.0595,119.999,0.348,0
115,Jennifer Lopez,Talk About Us,5DQvUFEmMu4CSbmEnkCmio,0.293,0.705,0.536,0,6,0.138,-6.707,1,0.0282,80.988,0.252,0
116,Saosin,Bury Your Head,663XpYXOdyF2zv4bTIXffh,0.000121,0.319,0.926,0.000978,6,0.338,-3.865,0,0.0487,166.051,0.359,0
117,John Williams,American Journey/IV. Arts and Sports,5dQ01k4mZoBhUDycenONHX,0.845,0.372,0.367,0.942,2,0.0852,-16.568,1,0.0374,139.169,0.378,0
118,Bury Your Dead,Closed Eyes,0FM8HPWdnQkdW8KsYXuTYe,3.19E-05,0.145,0.653,0.552,4,0.125,-7.195,1,0.0483,99.905,0.245,0
119,The Nelons,I've Won (Introduction - Speaking),2jzf2K5iltVL8exREG0FXT,0.812,0.566,0.0283,0,6,0.175,-30.303,1,0.274,101.888,0.511,0
120,C-Side & Petit Mal,Mudhump,5YQI69LBKUaixXyZA3jxJm,0.796,0.5,0.772,0.0255,4,0.0879,-10.582,0,0.108,115.396,0.346,0
121,Jewel,Serve The Ego (Hani Num Dub),7kBW0l7BWDcnQYUHQHfiBQ,0.00058,0.807,0.94,0.805,10,0.05,-6.59,1,0.0593,128.001,0.614,0
122,DMX,Damien,33EvfEwe9JrbEt0PP1lIbt,0.291,0.825,0.729,0,10,0.117,-7.632,0,0.325,96.845,0.436,0
123,Don Gibson,A Legend In My Time,7mnLFShI3TZacLb22s8w4Z,0.885,0.536,0.299,3.20E-06,2,0.15,-12.108,1,0.0285,111.635,0.346,0
124,James Horner,The President's Speech,7nRHzPst40uHGPJlB4k9Ga,0.911,0.147,0.00548,0.974,7,0.068,-37.995,0,0.0414,76.191,0.0313,0
125,Bersuit Vergarabat,Sencillamente,3tPGzLQOB9GnSisO0l4tGW,0.326,0.74,0.613,0.000982,6,0.122,-7.3,0,0.027,135.984,0.966,0
126,Nick Cave & The Bad Seeds,Still In Love,3whOZocb64S2DkRibyTLR6,0.284,0.408,0.305,0.000148,0,0.171,-11.291,1,0.0367,116.804,0.0566,0
127,Our Time Down Here,Big Guys Throw Cones,2hunuh5xzcEhOarpRv9pA5,6.72E-05,0.273,0.978,0.0289,11,0.547,-2.615,1,0.0608,119.052,0.782,0
128,G-Unit,Poppin' Them Thangs,4E5IFAXCob6QqZaJMTw5YN,0.263,0.769,0.818,0,6,0.0787,-1.385,0,0.192,88.017,0.918,0
129,Kitaro,Trong Com,0NFcreXS780NqU7SGRAOd3,0.992,0.478,0.141,0.00011,11,0.641,-22.4,1,0.107,82.677,0.601,0
130,Hank Locklin,Danny Boy,3xXpLksuYFu1P22eJtYYi0,0.823,0.332,0.219,0,7,0.109,-11.706,1,0.0285,92.683,0.387,0
131,Wailing Souls,Old Broom,4lUJR17ZmoyYjM8MyvV9E3,0.0274,0.84,0.371,0.000246,2,0.0646,-13.48,1,0.134,145.884,0.865,0
132,Murskahumppa,Poikamies (2009),1zX4LdSx9hhijoxBaJb0Xr,0.000193,0.283,0.858,0.647,9,0.456,-7.542,1,0.0528,130.688,0.514,0
133,Furry Lewis,Good Looking Girl Blues,5BWoO263yXz4MDlwSViklb,0.979,0.581,0.197,0.000107,8,0.118,-11.41,1,0.0438,137.371,0.381,0
134,Lili Ivanova,Pak shte te obicham,60PZAoWiecSVtyGYj3aebf,0.0887,0.777,0.873,1.38E-06,6,0.335,-6.044,0,0.0426,123.996,0.898,0
135,Radiohead,Subterranean Homesick Alien,2CVV8PtUYYsux8XOzWkCP0,0.0484,0.312,0.595,0.00139,0,0.103,-8.919,1,0.0298,150.502,0.337,0
136,Seamus Egan,Lullaby,7eaWehwi1f7szxVfW4HMkB,0.901,0.512,0.0714,0.81,9,0.111,-18.277,0,0.038,119.275,0.231,0
137,Vanessa Bell Armstrong,Til The Victory's Won,2NUqIvguvI5rYzwC6WsLU6,0.0204,0.782,0.637,0,1,0.248,-2.133,1,0.0338,121.019,0.172,0
138,Arthur Tracy,Dance_ Gypsy_ Dance,7Lid83sKVp35BLZp8jkxZ4,0.984,0.434,0.318,0.0509,5,0.336,-12.691,0,0.0368,141.77,0.566,0
139,Angelo Badalamenti,Love Me,3XSD6futyyccFfWa8GRSow,0.933,0.17,0.254,0.937,1,0.118,-18.232,1,0.0405,85.565,0.0327,0
140,Dave Hollister,Tell Me Why,3YrpRrxV7PF3c5p3iK3hoB,0.268,0.538,0.541,0,6,0.14,-7.308,1,0.042,119.279,0.271,0
141,C.C. Adcock,Good Loving,5D9dR2FCi6LH2cD5pOjIW7,0.0269,0.436,0.918,0.0093,7,0.223,-6.82,1,0.0514,172.588,0.826,0
142,Hank Locklin,Rio Grande Waltz,6FWSUXr65KzjSAK66rPut7,0.985,0.601,0.339,0,3,0.124,-8.182,1,0.0281,98.84,0.664,0
143,We Show Up On Radar,Red Balloon,1ARWKKWJwd0BUuDlRXyyOg,0.228,0.453,0.399,0.793,5,0.376,-11.147,0,0.029,79.378,0.0649,0
144,Tanto Metro & Devonte,Honey I Sugar Pie,0GP0OuFB5E9TWCSaxVnkNW,0.0056,0.788,0.787,0,1,0.0362,-7.05,1,0.204,119.836,0.822,0
145,Tammy Wynette,Stand By Your Man,6xatfNMI8NkY5XxRHAeiS4,0.788,0.517,0.246,0.00105,9,0.133,-11.992,1,0.0308,105.24,0.525,1
146,Gabinete Caligari,El Arte De Amar,0FyQbLXWrJMObFUF0kROlP,4.50E-06,0.469,0.849,0.191,7,0.126,-10.081,1,0.0355,109.067,0.644,0
147,Terry Riley,Acension Final Chord Rising,1Y0UxXqGBwZXxymLFCNNrY,0.944,0.137,0.0341,0.991,11,0.118,-38.653,1,0.0489,141.749,0.0282,0
148,Basic Channel,Phylyps Trak II/II,1SbsYaTACZQ3YqeFLZ6Eie,1.83E-05,0.87,0.707,0.962,10,0.0422,-11.659,0,0.119,127.888,0.147,0
149,SUMO,Pinini Reggae,07EmSBY7syIism45UtBPZa,0.0163,0.853,0.475,1.44E-06,8,0.0998,-11.592,0,0.122,101.811,0.962,0
150,Superchumbo,Irresistible! (Maurel & Fauvrelle LESS Mix),1mumeomFvvHEXyctVA7W1j,0.0666,0.733,0.967,0.919,6,0.25,-8.106,1,0.0748,127.998,0.636,0
151,Enslavement Of Beauty,Ye That Tempteth_ Ye That Bequeth,0PxCJXPy0cCs94meqJSrXf,0.000233,0.502,0.811,0.0596,4,0.0892,-4.899,0,0.0341,119.979,0.144,0
152,MxPx,Answer In The Question,7jh5dClPoNe2rdPatg7Noz,0.00913,0.457,0.949,0,7,0.429,-3.21,1,0.0608,130.887,0.493,0
153,C.J. Chenier,Banana Man,209xakaLxF4t5t0JNy9tNb,0.36,0.454,0.735,2.52E-06,3,0.183,-7.356,1,0.0433,88.678,0.891,0
154,Snow Patrol,Chocolate,3Kh58CfPsfIl8XkCEKWbNf,0.000542,0.575,0.813,0.0032,2,0.131,-4.34,1,0.0318,118.161,0.422,0
155,Darwin Hobbs,You Are God (Broken Album Version),4aQ6YpmRV2fl8CgeAWBRuI,0.702,0.381,0.382,0,8,0.108,-8.432,1,0.0579,145.989,0.244,0
156,Anubis Spire,It Has Been A Long Time_ Hasn't It,3O4wTQqR3eRileX6p7Ty7p,0.000873,0.344,0.409,0.752,9,0.145,-18.725,1,0.0306,80.935,0.261,0
157,Elakelaiset,Humppa,1O90XHe42sYN2WMz8wWel9,0.061,0.414,0.993,0.0728,11,0.139,-2.263,1,0.248,156.11,0.601,0
158,The Creation,Hey Joe,3gtlS0bd5YvejgQrM6BIiW,0.467,0.446,0.583,1.59E-05,9,0.224,-8.475,1,0.0352,85.378,0.348,0
159,The Balustrade Ensemble,Fall Away Into Darkness,1MmpcRAJJ4PRCDuKb8t9i6,0.492,0.0647,0.253,0.673,11,0.207,-16.681,0,0.0387,73.932,0.0351,0
