Artist name,Title,Year,Loudness,Key,Danceability,Energy,Tempo,isTop100
Whitesnake,Fool For Your Loving,1980,-7.356,7,0.0,0.0,125.783,1
Los Abuelos De La Nada,Lunes Por La Madrugada,1984,-14.409,2,0.0,0.0,139.685,0
Babylon Disco,Error,2007,-10.196,0,0.0,0.0,89.927,0
Ulytau,Winter (Four Seasons),0,-5.779,5,0.0,0.0,140.13,0
Dave Eggar,Wave,2002,-23.15,1,0.0,0.0,100.893,0
Ray Kane,Wa'ahila (Instrumental - Bonus Track),0,-19.157,9,0.0,0.0,163.385,0
Ashes to Ashes,Drive In Saturday - (Tribute to David Bowie),0,-12.22,7,0.0,0.0,94.888,0
Kaija Koo,Seuraavassa el\xc3\xa4m\xc3\xa4ss\xc3\xa4,1995,-8.521,2,0.0,0.0,121.981,0
Fudge Tunnel,Bed Crumbs,1991,-7.31,11,0.0,0.0,120.703,0
Donnie Brooks,What'd I Say,2001,-10.362,0,0.0,0.0,113.082,0
SOJA,Time to come true,0,-7.7,5,0.0,0.0,145.94899999999996,0
Kelly Clarkson,My Life Would Suck Without You,2009,-5.9529999999999985,9,0.0,0.0,135.914,1
Edgar Bori,J'l'ai pas dit,0,-8.224,11,0.0,0.0,117.295,0
Jimmy Witherspoon,I'm Just Wonderin' Part 2,0,-12.437,3,0.0,0.0,94.105,0
The Nelons,Hallelujah,0,-11.236,7,0.0,0.0,108.914,0
Tanto Metro & Devonte,Sometimes,0,-9.01,6,0.0,0.0,105.671,0
BigElf,Falling Bombs,2003,-4.683,0,0.0,0.0,64.006,0
Dinosaur Jr.,Whatever's Cool With Me (LP Version),1991,-6.051,0,0.0,0.0,152.461,0
The Exies,Creeper Kamikaze,2003,-4.998,10,0.0,0.0,113.326,0
2raumwohnung,Ja (Hanno's Poppersmonstermix),2007,-8.525,7,0.0,0.0,125.995,0
Eliane Elias,No More Blues (Chega de Saudade),1992,-24.83,5,0.0,0.0,95.111,0
Jesse Malin and The St. Marks Social,Revelations,2007,-4.852,9,0.0,0.0,126.105,0
Zimbabwe Legit,Siyabonga (Unreleased Bonus Track),0,-10.203,1,0.0,0.0,100.145,0
Stanley Clarke,Journey To Love,1975,-12.714,2,0.0,0.0,84.064,0
Zombie Girl,I Want It,2006,-5.202000000000001,1,0.0,0.0,129.984,0
Der Moderne Man,Blaue Matrosen (live),0,-9.848,4,0.0,0.0,105.29,0
GG Allin,I Live to Be Hated,0,-12.298,8,0.0,0.0,74.82,0
Dino,Chariots Of Fire,0,-20.193,0,0.0,0.0,95.179,0
Ma Rainey,Ma Rainey's Black Bottom,1927,-17.714000000000006,4,0.0,0.0,99.076,0
La Portuaria,Alguna Vez,0,-13.607,9,0.0,0.0,112.071,0
Spinal Tap,The Majesty Of Rock,1992,-5.492000000000001,4,0.0,0.0,129.31799999999998,0
Buzzcocks,Strange Thing,1980,-7.7360000000000015,4,0.0,0.0,176.153,0
3 Doors Down,It's Not Me,2003,-5.981,4,0.0,0.0,86.82,0
Hemdale,Rotting Fumes,0,-9.883,10,0.0,0.0,108.917,0
Gus Viseur,Fausse monnaie,2000,-13.512,2,0.0,0.0,90.177,0
Papa Wemba,Maria,0,-8.09,9,0.0,0.0,120.411,0
Pride Tiger,56 Days,2007,-2.397,8,0.0,0.0,114.061,0
Bamberg Symphony Orchestra and Hans Swarowsky,Hungarian Dances_ WoO 1: No. 12 in D Minor: Presto,0,-22.492,2,0.0,0.0,137.219,0
Barbarito Diez,Sublime Enso\xc3\xb1acion,0,-9.139,0,0.0,0.0,116.949,0
Winston Reedy,Daughter Of Zion,1997,-8.754,6,0.0,0.0,153.738,0
John Hammond,Come To Find Out,2005,-8.405,6,0.0,0.0,90.666,0
Ten Years After,Victim Of Circumstance,1989,-11.814,5,0.0,0.0,128.59799999999998,0
Helen Love,Bubblegum,1997,-8.871,11,0.0,0.0,156.07399999999996,0
Pablo Montero,Ni Gota De Rencor,0,-8.596,2,0.0,0.0,100.048,0
Sweet,Airheads,0,-4.99,4,0.0,0.0,84.103,0
Tom Petty And The Heartbreakers,Mary Jane's Last Dance,0,-8.962,7,0.0,0.0,168.946,1
Richard Galliano,French Touch,1999,-16.937,4,0.0,0.0,79.53,0
Chris Farlowe,Gangster Of Love,0,-13.224,7,0.0,0.0,122.298,0
Steve Wilson,Your God Isn't Listening,0,-14.51,7,0.0,0.0,100.006,0
A.Z.,Sosa (Explicit),1998,-8.005,4,0.0,0.0,180.296,0
Quadro Nuevo,"Der Wind Hat Mir Ein Lied Erz\xc3\xa4hlt (from ""La Habanera"")",0,-10.566,2,0.0,0.0,110.551,0
Francisco C\xc3\xa9spedes,Se\xc3\xb1ora (bonus track),1998,-9.84,10,0.0,0.0,110.666,0
The Presets,Yippiyo-Ay,2008,-4.002,4,0.0,0.0,120.119,0
Jennifer Lopez,Talk About Us,1999,-6.518,6,0.0,0.0,80.979,0
John Legend [feat. Buju Banton],Fall In Love [Rub A Dub Mix],0,-7.397,5,0.0,0.0,162.876,0
Saosin,Bury Your Head,2005,-3.753,6,0.0,0.0,85.029,0
John Williams,American Journey/IV. Arts and Sports,0,-17.941,2,0.0,0.0,138.50799999999998,0
Bury Your Dead,Closed Eyes,2009,-6.664,4,0.0,0.0,123.635,0
The Nelons,I've Won (Introduction - Speaking),0,-30.29300000000001,6,0.0,0.0,72.001,0
Les Blaireaux,Le gardien de mus\xc3\xa9e,2007,-9.911,0,0.0,0.0,140.173,0
C-Side & Petit Mal,Mudhump,0,-11.828,4,0.0,0.0,135.08700000000002,0
Jewel,Serve The Ego (Hani Num Dub),0,-6.0760000000000005,0,0.0,0.0,85.316,0
Las Ketchup,Doble Bombo,2006,-4.134,0,0.0,0.0,167.954,0
DMX,Damien,1998,-7.974,10,0.0,0.0,106.769,0
Don Gibson,A Legend In My Time,1987,-14.28,2,0.0,0.0,80.738,0
James Horner,The President's Speech,1998,-36.835,2,0.0,0.0,76.499,0
Bersuit Vergarabat,Sencillamente,2005,-7.769,6,0.0,0.0,135.982,0
Izzy,Going Home,0,-17.91,1,0.0,0.0,88.76100000000002,0
Acorps de Rue,Chanson R\xc3\xa9aliste,0,-7.434,5,0.0,0.0,73.13600000000002,0
Pee Wee King,Railroad Boogie,0,-11.473,5,0.0,0.0,89.20100000000002,0
Nick Cave & The Bad Seeds,Still In Love,2003,-11.765999999999998,0,0.0,0.0,116.621,0
Our Time Down Here,Big Guys Throw Cones,0,-2.844,6,0.0,0.0,126.4,0
G-Unit,Poppin' Them Thangs,2003,-1.622,11,0.0,0.0,88.04299999999998,0
Kitaro,Trong Com,1993,-23.874,10,0.0,0.0,35.931,0
Br\xc3\xb6derna Djup,R\xc3\xa5skev\xc3\xa4rsrock,0,-9.221,9,0.0,0.0,135.407,0
Hank Locklin,Danny Boy,0,-13.12,7,0.0,0.0,90.61,0
Jo-El Sonnier,Cajun Blood,0,-6.589,7,0.0,0.0,169.235,0
Wailing Souls,Old Broom,1981,-9.99,7,0.0,0.0,146.445,0
Murskahumppa,Poikamies (2009),0,-8.189,9,0.0,0.0,130.756,0
Furry Lewis,Good Looking Girl Blues,0,-14.876,8,0.0,0.0,136.915,0
Naughty By Nature;Naughty By Nature featuring Zhane,Jamboree,0,-8.982999999999997,0,0.0,0.0,91.981,0
Lili Ivanova,Pak shte te obicham,0,-6.097,6,0.0,0.0,124.025,0
Radiohead,Subterranean Homesick Alien,1997,-9.148,0,0.0,0.0,150.84799999999996,0
Seamus Egan,Lullaby,0,-18.263,0,0.0,0.0,60.11,0
Vanessa Bell Armstrong,Til The Victory's Won,0,-2.001,2,0.0,0.0,120.977,0
Arthur Tracy,Dance_ Gypsy_ Dance,0,-15.01,5,0.0,0.0,138.25,0
Angelo Badalamenti,Love Me,0,-21.835,9,0.0,0.0,67.405,0
Dave Hollister,Tell Me Why,2006,-7.232,6,0.0,0.0,118.052,0
C.C. Adcock,Good Loving,0,-7.0710000000000015,7,0.0,0.0,172.71599999999995,0
Hank Locklin,Rio Grande Waltz,0,-15.995,2,0.0,0.0,106.941,0
Whitesnake,Young Blood (2007 Digital Remaster),0,-6.186,7,0.0,0.0,145.689,0
We Show Up On Radar,Red Balloon,0,-11.255,5,0.0,0.0,79.226,0
Tanto Metro & Devonte,Honey I Sugar Pie,2003,-8.41,1,0.0,0.0,195.976,0
The Clark Sisters,I Won't Let You Go Till You Bless My Soul (Album Version),0,-12.935,10,0.0,0.0,101.988,0
Tammy Wynette,Stand By Your Man,1968,-13.592,9,0.0,0.0,105.202,1
Gabinete Caligari,El Arte De Amar,1989,-12.436,7,0.0,0.0,109.051,0
Terry Riley,Acension Final Chord Rising,2002,-37.065,2,0.0,0.0,128.135,0
Basic Channel,Phylyps Trak II/II,1994,-12.593,11,0.0,0.0,127.923,0
Eddie Cano,The Trolley Song (Live Album Version),0,-16.05,0,0.0,0.0,165.263,0
Chet Atkins,Get Up & Go,0,-11.851,5,0.0,0.0,98.117,0
SUMO,Pinini Reggae,1989,-5.945,11,0.0,0.0,101.742,0
Superchumbo,Irresistible! (Maurel & Fauvrelle LESS Mix),0,-7.633999999999999,6,0.0,0.0,127.992,0
liquid soul & freq,Liquid Frequencies (liquid Soul Mix),0,-6.318,1,0.0,0.0,0.0,0
Enslavement Of Beauty,Ye That Tempteth_ Ye That Bequeth,2001,-4.732,4,0.0,0.0,120.052,0
Fort Minor (Featuring Mr. Hahn),Slip Out The Back (Album Version),2005,-6.475,5,0.0,0.0,90.009,0
MxPx,Answer In The Question,2000,-3.487,7,0.0,0.0,130.716,0
Sonny Terry & Brownie McGhee,Be Good To Me,0,-17.019000000000002,7,0.0,0.0,106.237,0
C.J. Chenier,Banana Man,1992,-12.469,5,0.0,0.0,89.67,0
Mercedes Castro,El Cara Bonita,0,-8.077,3,0.0,0.0,129.35399999999998,0
Dean Elliott And His Big Band,Lonesome Road (1995 Digital Remaster),0,-10.727,0,0.0,0.0,120.172,0
Snow Patrol,Chocolate,2003,-6.473,7,0.0,0.0,117.966,0
Darwin Hobbs,You Are God (Broken Album Version),2003,-9.055,8,0.0,0.0,41.21,0
Anubis Spire,It Has Been A Long Time_ Hasn't It,0,-18.533,9,0.0,0.0,161.621,0
Elakelaiset,Humppa,1996,-11.931,2,0.0,0.0,166.90599999999995,0
The Creation,Hey Joe,1967,-10.612,9,0.0,0.0,85.45299999999997,0
The Balustrade Ensemble,Fall Away Into Darkness,2007,-17.057000000000002,2,0.0,0.0,116.423,0
The Box Tops,Neon Rainbow,1967,-10.393,0,0.0,0.0,117.381,1
Beaver Harris,Glo-Billy-Vee-Vee,0,-12.21,2,0.0,0.0,82.571,0
Astarte,Risen From Within,2000,-6.2410000000000005,4,0.0,0.0,161.782,0
Ultimate Fakebook,Brok\xc3\xbfn N\xc3\xabedle,0,-3.287,2,0.0,0.0,115.606,0
Stevie Ray Vaughan And Double Trouble,Empty Arms,1996,-10.72,6,0.0,0.0,98.623,0
DJ Spinn,Bounce Back,0,-13.159,11,0.0,0.0,120.231,0
Prisma,winning friends,0,-10.037,9,0.0,0.0,194.704,0
Terry Callier,Blues,2001,-8.154,7,0.0,0.0,109.018,0
Finntroll,Hel Vete,2004,-5.563,4,0.0,0.0,149.94799999999995,0
Novaspace,Guardian Angel,2002,-7.298999999999999,2,0.0,0.0,185.97,0
Laid Back,Maybe I'm Crazy (Single original version_ 2008 Digital Remaster),0,-4.854,10,0.0,0.0,124.534,0
Semisonic,If I Run,1993,-5.814,4,0.0,0.0,186.012,0
Tom Barabas,Melodioso,0,-14.094,4,0.0,0.0,121.001,0
Willie Clayton,Heart Of The City (Soul and R&B),0,-5.9060000000000015,7,0.0,0.0,85.973,0
Pardesi,Shuncata Penda,0,-12.597,1,0.0,0.0,106.438,0
Baby Grand,Melodica,0,-9.042,9,0.0,0.0,114.011,0
Steve Riley & The Mamou Playboys,Between Eunice & Opelousas,1995,-3.959,0,0.0,0.0,225.669,0
DJ Ostkurve,Sailing,0,-3.854,9,0.0,0.0,137.951,0
Falco,Monarchy Now,1992,-8.726,11,0.0,0.0,94.777,0
Roy Rogers,Hi Ho Silver,0,-16.884,5,0.0,0.0,121.815,0
Reni,Slamka Spasa,0,-3.826,0,0.0,0.0,92.68,0
Leonard Kwan,Kanaka 'o Mose,0,-22.196,11,0.0,0.0,83.065,0
Cracker,Shake Some Action,1995,-5.4979999999999976,4,0.0,0.0,136.459,0
Thomas Battenstein,Nun singet und seid froh,0,-20.446,7,0.0,0.0,162.10299999999995,0
Javier Mendoza Band,R\xc3\xa1pido Nos Vamos,0,-4.6389999999999985,2,0.0,0.0,117.116,0
Sapo,El Mes Alt,2003,-5.155,4,0.0,0.0,141.45,0
Donny Hathaway,I Love You More Than You'll Ever Know (LP Version),1990,-16.336,5,0.0,0.0,72.937,0
The Charms,Ascolta mio dio,0,-8.334,4,0.0,0.0,149.054,0
Kris Kristofferson,Road Warrior's Lament,0,-18.184,2,0.0,0.0,141.51,0
Silverstein,FRIENDS IN FALL RIVER  (LP Version),2006,-5.9929999999999986,9,0.0,0.0,200.375,0
Matisyahu,Exaltation,2004,-7.865,5,0.0,0.0,181.549,0
B\xc3\xa9la Fleck,Punchdrunk,1982,-9.89,2,0.0,0.0,140.659,0
Jongo Trio,Morena Boca De Ouro,0,-7.657,11,0.0,0.0,184.96400000000003,0
Alice In Chains,Brother,1992,-6.478,1,0.0,0.0,92.012,0
Eddie Money,Two Tickets To Paradise,1977,-7.54,2,0.0,0.0,86.902,1
S\xc3\xa9amus Egan,McDermott's / Boys of Blue Hill,0,-11.404000000000002,2,0.0,0.0,201.651,0
Gary Moore,Rockin' Every Night (Live),2005,-11.105,7,0.0,0.0,100.081,0
Christina Aguilera,Walk Away,2002,-6.774,4,0.0,0.0,152.214,0
David Tao,Everything's Gone,0,-11.484000000000002,8,0.0,0.0,151.882,0
Jaime Urrutia,La sangre de tu tristeza (con Dani Martin_ directo Enjoy 07),0,-2.999,2,0.0,0.0,102.165,0
Pepe Kalle,Roger Milla (Stadium Mix),0,-9.381,7,0.0,0.0,140.316,0
Kiprich,Dem a Talk,0,-9.693,5,0.0,0.0,183.827,0
Goatwhore,Forever Consumed Oblivion,2006,-4.442,10,0.0,0.0,110.994,0
Maurane / Lara Fabian,Mais La Vie,2003,-13.637,0,0.0,0.0,107.087,0
Rita Chiarelli,Doggin' Around,2004,-9.517,5,0.0,0.0,90.282,0
Facto Delafe y las flores azules,Enero en la playa (Edit),2005,-9.65,2,0.0,0.0,95.036,0
Carlos Nu\xc3\xb1ez,A Costa De Galicia,2002,-8.691,0,0.0,0.0,113.156,0
Antonio Bribiesca,Anillo de compromiso,0,-12.468,7,0.0,0.0,84.05,0
Trick Trick / Eminem,Welcome 2 Detroit,2005,-4.853,1,0.0,0.0,91.101,0
Sex Pistols,New York (Dave Goodman Demo Version) (Explicit),0,-7.654,4,0.0,0.0,133.811,0
Franco,Motindo Na Yo Te,0,-8.774,2,0.0,0.0,178.192,0
Michael Jackson,HISTORY,1995,-2.617,11,0.0,0.0,128.702,0
Pinchers,For Your Eyes Only,0,-7.551,10,0.0,0.0,158.10299999999995,0
3 Doors Down,Sarah Yellin',2002,-5.371,7,0.0,0.0,128.714,0
Kenny Price,Biloxi,0,-11.857,9,0.0,0.0,117.076,0
The Rapture,Killing,2003,-7.693,10,0.0,0.0,120.006,0
C\xc3\xa2ndido,Sentimentos Desiguais,0,-5.573,6,0.0,0.0,167.951,0
Elliot Goldenthal,Bullet Frenzy,2003,-13.179,2,0.0,0.0,148.505,0
Ram\xc3\xb3n Vargas_ S\xc3\xa4ngerknaben Luzerner Kantorei_ Henk Geuke_ Concilium Musicum Wien & Paul Angerer,Adeste fideles,0,-21.881,0,0.0,0.0,69.538,0
Behemoth,Before The \xc3\x86ons Came,2004,-4.059,1,0.0,0.0,85.11200000000002,0
Delroy Wilson,Baby You Got What It Takes - Original,0,-10.791,4,0.0,0.0,166.687,0
Soilwork,Machine Gun Majesty [Live] (Album Version),2000,-3.049,7,0.0,0.0,93.235,0
Andre Popp,Fernando,0,-8.493,5,0.0,0.0,103.77,0
Horace Andy,Rastafari Prophecy,0,-4.812,6,0.0,0.0,174.282,0
Photo Atlas,Red Orange Yellow,2007,-5.9910000000000005,9,0.0,0.0,168.248,0
Shaggy,Alimony,1994,-7.751,6,0.0,0.0,89.99799999999998,0
Sade,Smooth Operator,1983,-6.375,0,0.0,0.0,119.903,1
Arkona,Zalozniy,0,-4.5680000000000005,7,0.0,0.0,106.724,0
Snow Patrol,Half The Fun,2004,-4.022,11,0.0,0.0,142.01,0
Dinosaur Jr,On The Brink,1994,-6.942,7,0.0,0.0,145.22799999999995,0
Los Van Van,Consuelate Como Yo,0,-6.017,6,0.0,0.0,130.691,0
Lara,Damit Du Dich in mich verliebst,2009,-6.533,2,0.0,0.0,81.986,0
Nicole C. Mullen,This This (LP Version),0,-5.9460000000000015,9,0.0,0.0,130.64,0
Outerspace,Drive By Music,2006,-4.982,10,0.0,0.0,181.889,0
Gloria Lasso,Que Cosas_ Que Cosas,0,-19.376,10,0.0,0.0,123.049,0
Les Sexareenos,Ruby D.,2001,-7.268,4,0.0,0.0,182.57,0
Defect & Quixotic,WristStraining Order,2008,-5.136,9,0.0,0.0,102.008,0
