Artist name,Title,Year,Loudness,Key,Danceability,Energy,Tempo
Ang\xc3\xa9lla Christie,Walk With Me,0,-8.665,5,0.0,0.0,111.465
The Winans,Everything You Touch Is a Song,0,-13.792,8,0.0,0.0,102.32799999999999
Luiz Bonfa,A Brazilian in New York,0,-18.713,4,0.0,0.0,105.81299999999999
Mario Rosenstock,De Tree Little Pigs,0,-5.849,10,0.0,0.0,79.09
Red Hot Chili Peppers,Get On Top (Album Version),1999,-1.479,4,0.0,0.0,76.986
Trivium,Upon The Shores [Explicit],2008,-3.9730000000000003,4,0.0,0.0,100.604
Mack and Jamie,Slimy Little Troll,0,-15.755,8,0.0,0.0,186.13
Chris Standring,Mumbo Jumbo (jazz),2006,-9.449,9,0.0,0.0,97.959
Jerry Goldsmith,First Blood,1985,-18.719,1,0.0,0.0,77.306
Gordon MacRae,Do You Ever Think Of Me,0,-16.215,3,0.0,0.0,77.929
John Mayall & The Bluesbreakers,Crawling Up A Hill - version 2 - mono_ live,0,-4.62,8,0.0,0.0,166.238
Charley Patton,Moon Going Down,1930,-15.164000000000001,10,0.0,0.0,107.87700000000001
Ensiferum,Hero In A Dream,1999,-2.5989999999999998,9,0.0,0.0,200.06099999999998
The Race,Raising Children,2006,-5.297999999999999,11,0.0,0.0,118.04299999999999
Neviss,Epilog,2003,-31.412,1,0.0,0.0,160.409
Martin Sexton,Ice Cream Man,2001,-8.732999999999999,2,0.0,0.0,133.391
Dylan Kuo,Ji Xiang Yan Chu,0,-5.614,1,0.0,0.0,100.17299999999999
Yahir,No seamos tontos,0,-5.737,0,0.0,0.0,131.938
Reel Big Fish,Why Do All Girls Think They're Fat (Album),2007,-4.188,2,0.0,0.0,159.72299999999996
Brian Dullaghan,My First Day At School,0,-21.412,2,0.0,0.0,92.29
Der Plan,De Kommissar 1,0,-18.169,6,0.0,0.0,35.898
Chango Spasiuk,De Bombacha Y Alpargatas,0,-13.763,9,0.0,0.0,194.15599999999998
Hacken Lee,He Jiu Bi Hun,0,-11.786,6,0.0,0.0,112.081
Peggy Zina,O Hiroteros Ehthros Mou,2009,-6.654,3,0.0,0.0,96.024
J.J. Cale,Midnight In Memphis,1997,-14.293,0,0.0,0.0,111.492
DJ Spinn,Feelin You,0,-6.53,6,0.0,0.0,119.98700000000001
Theodis Ealey,This Time I Know,0,-7.405,10,0.0,0.0,99.238
Janet Paschal,God Will Make A Way,0,-11.536,7,0.0,0.0,119.194
Souls Of Mischief,Spark,2002,-5.9110000000000005,4,0.0,0.0,96.287
Raze,Follow Your Dreams (The Plan Album Version),0,-2.932,6,0.0,0.0,108.831
Bad Brains,Destroy Babylon,1983,-9.613999999999999,9,0.0,0.0,86.536
Everyday Sunday,Don't Leave,2002,-7.4620000000000015,7,0.0,0.0,103.009
Dora The Explorer,Travel Song (Reprise),2008,-6.9170000000000025,1,0.0,0.0,123.965
Kix,Cold Blood (LP Version),0,-2.7689999999999997,1,0.0,0.0,140.994
Britney Spears,Don't Go Knockin' On My Door,2000,-5.303999999999999,10,0.0,0.0,111.00399999999999
Skeletonwitch,Sacrifice for the Slaughtergod,2007,-5.516,9,0.0,0.0,201.333
Slightly Stoopid,Jimi Baby,0,-12.708,9,0.0,0.0,173.709
Indigenous,Wanikaa (Featuring Abramz_ Krazy_ Lyrical G_ Saint Ca and Sylvester),0,-6.724,5,0.0,0.0,108.01799999999999
John Michael Talbot,Pass Through My Will,1989,-21.506,5,0.0,0.0,96.709
Maximilian Hecker,Full Of Voices,2005,-8.059,8,0.0,0.0,129.488
Leroy Hutson,More Where That Came From - Original,0,-17.92,7,0.0,0.0,183.935
True Believers,I Worship You,0,-8.672,4,0.0,0.0,92.881
Blingtones,La bo\xc3\xaete \xc3\xa0 hein biloute,0,-12.838,4,0.0,0.0,67.046
Charlie Cruz,Si No Te Hubieras Ido,0,-2.968,2,0.0,0.0,200.53400000000002
Whitesnake,Fool For Your Loving,1980,-7.356,7,0.0,0.0,125.78299999999999
Los Abuelos De La Nada,Lunes Por La Madrugada,1984,-14.409,2,0.0,0.0,139.685
Babylon Disco,Error,2007,-10.196,0,0.0,0.0,89.927
Ulytau,Winter (Four Seasons),0,-5.779,5,0.0,0.0,140.13
Dave Eggar,Wave,2002,-23.15,1,0.0,0.0,100.89299999999999
Ray Kane,Wa'ahila (Instrumental - Bonus Track),0,-19.157,9,0.0,0.0,163.385
Ashes to Ashes,Drive In Saturday - (Tribute to David Bowie),0,-12.22,7,0.0,0.0,94.88799999999999
Kaija Koo,Seuraavassa el\xc3\xa4m\xc3\xa4ss\xc3\xa4,1995,-8.521,2,0.0,0.0,121.98100000000001
Fudge Tunnel,Bed Crumbs,1991,-7.31,11,0.0,0.0,120.70299999999999
Donnie Brooks,What'd I Say,2001,-10.362,0,0.0,0.0,113.08200000000001
SOJA,Time to come true,0,-7.7,5,0.0,0.0,145.94899999999996
Kelly Clarkson,My Life Would Suck Without You,2009,-5.952999999999999,9,0.0,0.0,135.914
Edgar Bori,J'l'ai pas dit,0,-8.224,11,0.0,0.0,117.295
Jimmy Witherspoon,I'm Just Wonderin' Part 2,0,-12.437000000000001,3,0.0,0.0,94.105
The Nelons,Hallelujah,0,-11.235999999999999,7,0.0,0.0,108.914
Tanto Metro & Devonte,Sometimes,0,-9.01,6,0.0,0.0,105.671
BigElf,Falling Bombs,2003,-4.683,0,0.0,0.0,64.006
Dinosaur Jr.,Whatever's Cool With Me (LP Version),1991,-6.051,0,0.0,0.0,152.461
The Exies,Creeper Kamikaze,2003,-4.998,10,0.0,0.0,113.32600000000001
2raumwohnung,Ja (Hanno's Poppersmonstermix),2007,-8.525,7,0.0,0.0,125.995
Eliane Elias,No More Blues (Chega de Saudade),1992,-24.83,5,0.0,0.0,95.111
Jesse Malin and The St. Marks Social,Revelations,2007,-4.852,9,0.0,0.0,126.105
Zimbabwe Legit,Siyabonga (Unreleased Bonus Track),0,-10.203,1,0.0,0.0,100.145
Stanley Clarke,Journey To Love,1975,-12.714,2,0.0,0.0,84.064
Zombie Girl,I Want It,2006,-5.202000000000001,1,0.0,0.0,129.984
Der Moderne Man,Blaue Matrosen (live),0,-9.847999999999999,4,0.0,0.0,105.29
GG Allin,I Live to Be Hated,0,-12.298,8,0.0,0.0,74.82
Dino,Chariots Of Fire,0,-20.192999999999998,0,0.0,0.0,95.179
Ma Rainey,Ma Rainey's Black Bottom,1927,-17.714000000000006,4,0.0,0.0,99.07600000000001
La Portuaria,Alguna Vez,0,-13.607000000000001,9,0.0,0.0,112.071
Spinal Tap,The Majesty Of Rock,1992,-5.492000000000001,4,0.0,0.0,129.31799999999998
Buzzcocks,Strange Thing,1980,-7.7360000000000015,4,0.0,0.0,176.153
3 Doors Down,It's Not Me,2003,-5.981,4,0.0,0.0,86.82
Hemdale,Rotting Fumes,0,-9.883,10,0.0,0.0,108.917
Gus Viseur,Fausse monnaie,2000,-13.512,2,0.0,0.0,90.177
Papa Wemba,Maria,0,-8.09,9,0.0,0.0,120.411
Pride Tiger,56 Days,2007,-2.397,8,0.0,0.0,114.061
Bamberg Symphony Orchestra and Hans Swarowsky,Hungarian Dances_ WoO 1: No. 12 in D Minor: Presto,0,-22.491999999999997,2,0.0,0.0,137.219
Barbarito Diez,Sublime Enso\xc3\xb1acion,0,-9.139,0,0.0,0.0,116.949
Winston Reedy,Daughter Of Zion,1997,-8.754,6,0.0,0.0,153.738
John Hammond,Come To Find Out,2005,-8.405,6,0.0,0.0,90.666
Ten Years After,Victim Of Circumstance,1989,-11.814,5,0.0,0.0,128.59799999999998
Helen Love,Bubblegum,1997,-8.871,11,0.0,0.0,156.07399999999996
Pablo Montero,Ni Gota De Rencor,0,-8.596,2,0.0,0.0,100.04799999999999
Sweet,Airheads,0,-4.99,4,0.0,0.0,84.103
Tom Petty And The Heartbreakers,Mary Jane's Last Dance,0,-8.962,7,0.0,0.0,168.946
Richard Galliano,French Touch,1999,-16.937,4,0.0,0.0,79.53
Chris Farlowe,Gangster Of Love,0,-13.224,7,0.0,0.0,122.29799999999999
Steve Wilson,Your God Isn't Listening,0,-14.51,7,0.0,0.0,100.006
A.Z.,Sosa (Explicit),1998,-8.005,4,0.0,0.0,180.296
Quadro Nuevo,"Der Wind Hat Mir Ein Lied Erz\xc3\xa4hlt (from ""La Habanera"")",0,-10.565999999999999,2,0.0,0.0,110.551
Francisco C\xc3\xa9spedes,Se\xc3\xb1ora (bonus track),1998,-9.84,10,0.0,0.0,110.666
The Presets,Yippiyo-Ay,2008,-4.002,4,0.0,0.0,120.119
Jennifer Lopez,Talk About Us,1999,-6.518,6,0.0,0.0,80.979
John Legend [feat. Buju Banton],Fall In Love [Rub A Dub Mix],0,-7.397,5,0.0,0.0,162.876
Saosin,Bury Your Head,2005,-3.753,6,0.0,0.0,85.029
John Williams,American Journey/IV. Arts and Sports,0,-17.941,2,0.0,0.0,138.50799999999998
Bury Your Dead,Closed Eyes,2009,-6.664,4,0.0,0.0,123.635
The Nelons,I've Won (Introduction - Speaking),0,-30.29300000000001,6,0.0,0.0,72.001
Les Blaireaux,Le gardien de mus\xc3\xa9e,2007,-9.911,0,0.0,0.0,140.173
C-Side & Petit Mal,Mudhump,0,-11.828,4,0.0,0.0,135.08700000000002
Jewel,Serve The Ego (Hani Num Dub),0,-6.0760000000000005,0,0.0,0.0,85.316
Las Ketchup,Doble Bombo,2006,-4.1339999999999995,0,0.0,0.0,167.954
DMX,Damien,1998,-7.974,10,0.0,0.0,106.76899999999999
Don Gibson,A Legend In My Time,1987,-14.28,2,0.0,0.0,80.738
James Horner,The President's Speech,1998,-36.835,2,0.0,0.0,76.499
Bersuit Vergarabat,Sencillamente,2005,-7.769,6,0.0,0.0,135.982
Izzy,Going Home,0,-17.91,1,0.0,0.0,88.76100000000002
Acorps de Rue,Chanson R\xc3\xa9aliste,0,-7.434,5,0.0,0.0,73.13600000000002
Pee Wee King,Railroad Boogie,0,-11.472999999999999,5,0.0,0.0,89.20100000000002
Nick Cave & The Bad Seeds,Still In Love,2003,-11.765999999999998,0,0.0,0.0,116.62100000000001
Our Time Down Here,Big Guys Throw Cones,0,-2.844,6,0.0,0.0,126.4
G-Unit,Poppin' Them Thangs,2003,-1.6219999999999999,11,0.0,0.0,88.04299999999998
Kitaro,Trong Com,1993,-23.874000000000002,10,0.0,0.0,35.931
Br\xc3\xb6derna Djup,R\xc3\xa5skev\xc3\xa4rsrock,0,-9.221,9,0.0,0.0,135.407
Hank Locklin,Danny Boy,0,-13.12,7,0.0,0.0,90.61
Jo-El Sonnier,Cajun Blood,0,-6.5889999999999995,7,0.0,0.0,169.235
Wailing Souls,Old Broom,1981,-9.99,7,0.0,0.0,146.445
Murskahumppa,Poikamies (2009),0,-8.189,9,0.0,0.0,130.756
Furry Lewis,Good Looking Girl Blues,0,-14.876,8,0.0,0.0,136.915
Naughty By Nature;Naughty By Nature featuring Zhane,Jamboree,0,-8.982999999999997,0,0.0,0.0,91.98100000000001
Lili Ivanova,Pak shte te obicham,0,-6.097,6,0.0,0.0,124.025
Radiohead,Subterranean Homesick Alien,1997,-9.148,0,0.0,0.0,150.84799999999996
Seamus Egan,Lullaby,0,-18.262999999999998,0,0.0,0.0,60.11
Vanessa Bell Armstrong,Til The Victory's Won,0,-2.001,2,0.0,0.0,120.977
Arthur Tracy,Dance_ Gypsy_ Dance,0,-15.01,5,0.0,0.0,138.25
Angelo Badalamenti,Love Me,0,-21.835,9,0.0,0.0,67.405
Dave Hollister,Tell Me Why,2006,-7.232,6,0.0,0.0,118.052
C.C. Adcock,Good Loving,0,-7.0710000000000015,7,0.0,0.0,172.71599999999995
Hank Locklin,Rio Grande Waltz,0,-15.995,2,0.0,0.0,106.941
Whitesnake,Young Blood (2007 Digital Remaster),0,-6.186,7,0.0,0.0,145.689
We Show Up On Radar,Red Balloon,0,-11.255,5,0.0,0.0,79.226
Tanto Metro & Devonte,Honey I Sugar Pie,2003,-8.41,1,0.0,0.0,195.976
The Clark Sisters,I Won't Let You Go Till You Bless My Soul (Album Version),0,-12.935,10,0.0,0.0,101.988
Tammy Wynette,Stand By Your Man,1968,-13.592,9,0.0,0.0,105.20200000000001
Gabinete Caligari,El Arte De Amar,1989,-12.436,7,0.0,0.0,109.051
Terry Riley,Acension Final Chord Rising,2002,-37.065,2,0.0,0.0,128.135
Basic Channel,Phylyps Trak II/II,1994,-12.593,11,0.0,0.0,127.92299999999999
Eddie Cano,The Trolley Song (Live Album Version),0,-16.05,0,0.0,0.0,165.263
Chet Atkins,Get Up & Go,0,-11.850999999999999,5,0.0,0.0,98.117
SUMO,Pinini Reggae,1989,-5.945,11,0.0,0.0,101.742
Superchumbo,Irresistible! (Maurel & Fauvrelle LESS Mix),0,-7.633999999999999,6,0.0,0.0,127.992
liquid soul & freq,Liquid Frequencies (liquid Soul Mix),0,-6.318,1,0.0,0.0,0.0
Enslavement Of Beauty,Ye That Tempteth_ Ye That Bequeth,2001,-4.732,4,0.0,0.0,120.052
Fort Minor (Featuring Mr. Hahn),Slip Out The Back (Album Version),2005,-6.475,5,0.0,0.0,90.009
MxPx,Answer In The Question,2000,-3.487,7,0.0,0.0,130.716
Sonny Terry & Brownie McGhee,Be Good To Me,0,-17.019000000000002,7,0.0,0.0,106.23700000000001
C.J. Chenier,Banana Man,1992,-12.469000000000001,5,0.0,0.0,89.67
Mercedes Castro,El Cara Bonita,0,-8.077,3,0.0,0.0,129.35399999999998
Dean Elliott And His Big Band,Lonesome Road (1995 Digital Remaster),0,-10.727,0,0.0,0.0,120.17200000000001
Snow Patrol,Chocolate,2003,-6.473,7,0.0,0.0,117.96600000000001
Darwin Hobbs,You Are God (Broken Album Version),2003,-9.055,8,0.0,0.0,41.21
Anubis Spire,It Has Been A Long Time_ Hasn't It,0,-18.533,9,0.0,0.0,161.621
Elakelaiset,Humppa,1996,-11.931,2,0.0,0.0,166.90599999999995
The Creation,Hey Joe,1967,-10.612,9,0.0,0.0,85.45299999999997
The Balustrade Ensemble,Fall Away Into Darkness,2007,-17.057000000000002,2,0.0,0.0,116.42299999999999
The Box Tops,Neon Rainbow,1967,-10.392999999999999,0,0.0,0.0,117.381
Beaver Harris,Glo-Billy-Vee-Vee,0,-12.21,2,0.0,0.0,82.571
Astarte,Risen From Within,2000,-6.2410000000000005,4,0.0,0.0,161.782
Ultimate Fakebook,Brok\xc3\xbfn N\xc3\xabedle,0,-3.287,2,0.0,0.0,115.60600000000001
Stevie Ray Vaughan And Double Trouble,Empty Arms,1996,-10.72,6,0.0,0.0,98.62299999999999
DJ Spinn,Bounce Back,0,-13.159,11,0.0,0.0,120.23100000000001
Prisma,winning friends,0,-10.037,9,0.0,0.0,194.704
Terry Callier,Blues,2001,-8.154,7,0.0,0.0,109.01799999999999
Finntroll,Hel Vete,2004,-5.563,4,0.0,0.0,149.94799999999995
Novaspace,Guardian Angel,2002,-7.298999999999999,2,0.0,0.0,185.97
Laid Back,Maybe I'm Crazy (Single original version_ 2008 Digital Remaster),0,-4.854,10,0.0,0.0,124.53399999999999
Semisonic,If I Run,1993,-5.814,4,0.0,0.0,186.012
Tom Barabas,Melodioso,0,-14.094000000000001,4,0.0,0.0,121.001
Willie Clayton,Heart Of The City (Soul and R&B),0,-5.9060000000000015,7,0.0,0.0,85.973
Pardesi,Shuncata Penda,0,-12.597000000000001,1,0.0,0.0,106.43799999999999
Baby Grand,Melodica,0,-9.042,9,0.0,0.0,114.01100000000001
Steve Riley & The Mamou Playboys,Between Eunice & Opelousas,1995,-3.9589999999999996,0,0.0,0.0,225.669
DJ Ostkurve,Sailing,0,-3.8539999999999996,9,0.0,0.0,137.951
Falco,Monarchy Now,1992,-8.726,11,0.0,0.0,94.777
Roy Rogers,Hi Ho Silver,0,-16.884,5,0.0,0.0,121.815
Reni,Slamka Spasa,0,-3.826,0,0.0,0.0,92.68
Leonard Kwan,Kanaka 'o Mose,0,-22.195999999999998,11,0.0,0.0,83.065
Cracker,Shake Some Action,1995,-5.4979999999999976,4,0.0,0.0,136.459
Thomas Battenstein,Nun singet und seid froh,0,-20.445999999999998,7,0.0,0.0,162.10299999999995
Javier Mendoza Band,R\xc3\xa1pido Nos Vamos,0,-4.638999999999999,2,0.0,0.0,117.116
Sapo,El Mes Alt,2003,-5.155,4,0.0,0.0,141.45
Donny Hathaway,I Love You More Than You'll Ever Know (LP Version),1990,-16.336,5,0.0,0.0,72.937
The Charms,Ascolta mio dio,0,-8.334,4,0.0,0.0,149.054
Kris Kristofferson,Road Warrior's Lament,0,-18.184,2,0.0,0.0,141.51
Silverstein,FRIENDS IN FALL RIVER  (LP Version),2006,-5.992999999999999,9,0.0,0.0,200.375
Matisyahu,Exaltation,2004,-7.865,5,0.0,0.0,181.549
B\xc3\xa9la Fleck,Punchdrunk,1982,-9.89,2,0.0,0.0,140.659
Jongo Trio,Morena Boca De Ouro,0,-7.657,11,0.0,0.0,184.96400000000003
Alice In Chains,Brother,1992,-6.478,1,0.0,0.0,92.012
Eddie Money,Two Tickets To Paradise,1977,-7.54,2,0.0,0.0,86.902
S\xc3\xa9amus Egan,McDermott's / Boys of Blue Hill,0,-11.404000000000002,2,0.0,0.0,201.65099999999998
Gary Moore,Rockin' Every Night (Live),2005,-11.105,7,0.0,0.0,100.081
Christina Aguilera,Walk Away,2002,-6.774,4,0.0,0.0,152.214
David Tao,Everything's Gone,0,-11.484000000000002,8,0.0,0.0,151.882
Jaime Urrutia,La sangre de tu tristeza (con Dani Martin_ directo Enjoy 07),0,-2.9989999999999997,2,0.0,0.0,102.165
Pepe Kalle,Roger Milla (Stadium Mix),0,-9.381,7,0.0,0.0,140.316
Kiprich,Dem a Talk,0,-9.693,5,0.0,0.0,183.827
Goatwhore,Forever Consumed Oblivion,2006,-4.442,10,0.0,0.0,110.994
Maurane / Lara Fabian,Mais La Vie,2003,-13.637,0,0.0,0.0,107.087
Rita Chiarelli,Doggin' Around,2004,-9.517000000000001,5,0.0,0.0,90.28200000000001
Facto Delafe y las flores azules,Enero en la playa (Edit),2005,-9.65,2,0.0,0.0,95.036
Carlos Nu\xc3\xb1ez,A Costa De Galicia,2002,-8.691,0,0.0,0.0,113.156
Antonio Bribiesca,Anillo de compromiso,0,-12.468,7,0.0,0.0,84.05
Trick Trick / Eminem,Welcome 2 Detroit,2005,-4.853,1,0.0,0.0,91.101
Sex Pistols,New York (Dave Goodman Demo Version) (Explicit),0,-7.654,4,0.0,0.0,133.811
Franco,Motindo Na Yo Te,0,-8.774,2,0.0,0.0,178.192
Michael Jackson,HISTORY,1995,-2.617,11,0.0,0.0,128.702
Pinchers,For Your Eyes Only,0,-7.551,10,0.0,0.0,158.10299999999995
3 Doors Down,Sarah Yellin',2002,-5.371,7,0.0,0.0,128.714
Kenny Price,Biloxi,0,-11.857000000000001,9,0.0,0.0,117.07600000000001
The Rapture,Killing,2003,-7.693,10,0.0,0.0,120.006
C\xc3\xa2ndido,Sentimentos Desiguais,0,-5.5729999999999995,6,0.0,0.0,167.951
Elliot Goldenthal,Bullet Frenzy,2003,-13.179,2,0.0,0.0,148.505
Ram\xc3\xb3n Vargas_ S\xc3\xa4ngerknaben Luzerner Kantorei_ Henk Geuke_ Concilium Musicum Wien & Paul Angerer,Adeste fideles,0,-21.881,0,0.0,0.0,69.538
Behemoth,Before The \xc3\x86ons Came,2004,-4.059,1,0.0,0.0,85.11200000000002
Delroy Wilson,Baby You Got What It Takes - Original,0,-10.790999999999999,4,0.0,0.0,166.687
Soilwork,Machine Gun Majesty [Live] (Album Version),2000,-3.049,7,0.0,0.0,93.235
Andre Popp,Fernando,0,-8.493,5,0.0,0.0,103.77
Horace Andy,Rastafari Prophecy,0,-4.812,6,0.0,0.0,174.282
Photo Atlas,Red Orange Yellow,2007,-5.9910000000000005,9,0.0,0.0,168.248
Shaggy,Alimony,1994,-7.751,6,0.0,0.0,89.99799999999998
Sade,Smooth Operator,1983,-6.375,0,0.0,0.0,119.90299999999999
Arkona,Zalozniy,0,-4.5680000000000005,7,0.0,0.0,106.72399999999999
Snow Patrol,Half The Fun,2004,-4.022,11,0.0,0.0,142.01
Dinosaur Jr,On The Brink,1994,-6.942,7,0.0,0.0,145.22799999999995
Los Van Van,Consuelate Como Yo,0,-6.017,6,0.0,0.0,130.691
Lara,Damit Du Dich in mich verliebst,2009,-6.5329999999999995,2,0.0,0.0,81.986
Nicole C. Mullen,This This (LP Version),0,-5.9460000000000015,9,0.0,0.0,130.64
Outerspace,Drive By Music,2006,-4.982,10,0.0,0.0,181.889
Gloria Lasso,Que Cosas_ Que Cosas,0,-19.375999999999998,10,0.0,0.0,123.04899999999999
Les Sexareenos,Ruby D.,2001,-7.268,4,0.0,0.0,182.57
Defect & Quixotic,WristStraining Order,2008,-5.136,9,0.0,0.0,102.008
Rockin' Dopsie_ Jr.,Down at the Mardi Gras,0,-8.265,7,0.0,0.0,104.448
Bad Azz,Ghetto,2003,-7.532,1,0.0,0.0,121.87100000000001
Sir Douglas Quintet,She's About A Mover,0,-11.08,4,0.0,0.0,85.2
Mario Rosenstock,Radio Roy II,0,-7.018,7,0.0,0.0,84.76899999999998
Ray Conniff,Popsy,0,-9.568,2,0.0,0.0,82.75200000000002
Major Lance,Come See,1963,-9.379,6,0.0,0.0,119.712
