Artist name_x,Title_x,spotify_id,has_lyrics,flesch_ease,gunning_fog,flesch_readability,acousticness,dancability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,isTop100
Whitesnake,Fool For Your Loving,0BdTZNyYnSIDmkqjxSB0ef,1,115.33,2.72,-1.2,0.00171,0.503,0.943,4.10E-05,9,0.253,-4.951,0,0.0403,125.861,0.536,1
Kelly Clarkson,My Life Would Suck Without You,4Dm32oO01YpIubCHaAtKkN,1,98.92,3.15,1,0.0014,0.526,0.882,0,9,0.144,-4.006,1,0.0509,144.982,0.424,1
The Nelons,Hallelujah,5junyRfqnozdjSv85rKWXP,1,95.77,4.15,2.2,0.67,0.271,0.408,0,7,0.12,-7.695,0,0.0281,82.035,0.307,0
The Exies,Creeper Kamikaze,2O1mCn7VJjelc8Xr5TAWkG,1,107.79,2.7,-0.4,0.0176,0.471,0.765,0,10,0.108,-4.83,0,0.0335,113.034,0.293,0
Stanley Clarke,Journey To Love,5rt1JXfJFIJOlzf0HpuPDv,1,107.69,4.22,-0.4,0.6,0.623,0.346,0.286,2,0.0784,-15.779,1,0.0342,126.267,0.468,0
Zombie Girl,I Want It,1Aw4wEcRorA2Y7wyBgxEmX,1,115.84,2.52,-1.4,0.0531,0.514,0.959,0.33,0,0.0753,-5.517,1,0.0422,129.991,0.408,0
GG Allin,I Live to Be Hated,4CTnHRHGESz2nsJ2IuFhYy,1,99.23,3.31,0.9,0.0504,0.215,0.898,0.0169,8,0.338,-11.523,1,0.321,148.923,0.209,0
Ma Rainey,Ma Rainey's Black Bottom,3ftGs8ddu8Y6OiN9ooAPCF,1,114.22,3.16,-0.8,0.992,0.662,0.272,7.17E-06,1,0.501,-10.825,0,0.0486,99.688,0.728,0
Spinal Tap,The Majesty Of Rock,34VrvyaAKYgl7bBWCN4Lq8,1,107.38,2.97,-0.3,0.000481,0.507,0.946,0.0675,9,0.244,-4.977,1,0.115,128.058,0.465,0
Buzzcocks,Strange Thing,5eWyfJipdqtHPpZ6s2TMTv,1,65.89,3.7,5.4,3.54E-06,0.297,0.96,0.543,4,0.0919,-7.103,1,0.0695,168.625,0.462,0
3 Doors Down,It's Not Me,4Ade7jYfOfh7T9Bag0THDH,1,115.03,2.84,-1.1,0.00157,0.397,0.81,0.00208,4,0.172,-4.162,0,0.0416,174.477,0.363,0
Pride Tiger,56 Days,7wvbrsdRKckwxT1MeIKe7I,1,97.8,3.33,1.5,0.002,0.481,0.943,0,11,0.291,-2.041,1,0.0635,114.095,0.53,0
John Hammond,Come To Find Out,0rLIwDUdFv0mkAxng3tFH4,1,102.81,4.53,1.6,0.687,0.503,0.399,6.04E-06,4,0.101,-7.468,0,0.0343,89.638,0.334,0
Ten Years After,Victim Of Circumstance,0IB89oEkt8e3XLaxiuNXPZ,1,97.7,3.5,1.5,0.146,0.624,0.797,0.471,5,0.131,-10.684,1,0.0312,122.437,0.937,0
Helen Love,Bubblegum,22Kwrdj3rLOhhe8BdDcwqA,1,98.31,3.04,1.3,9.68E-05,0.418,0.84,0.000298,1,0.257,-3.868,1,0.0427,171.99,0.942,0
Jennifer Lopez,Talk About Us,5DQvUFEmMu4CSbmEnkCmio,1,115.33,2.85,-1.2,0.293,0.705,0.536,0,6,0.138,-6.707,1,0.0282,80.988,0.252,0
Saosin,Bury Your Head,663XpYXOdyF2zv4bTIXffh,1,116.25,2.54,-1.6,0.000121,0.319,0.926,0.000978,6,0.338,-3.865,0,0.0487,166.051,0.359,0
Bury Your Dead,Closed Eyes,0FM8HPWdnQkdW8KsYXuTYe,1,106.16,3.41,0.3,3.19E-05,0.145,0.653,0.552,4,0.125,-7.195,1,0.0483,99.905,0.245,0
DMX,Damien,33EvfEwe9JrbEt0PP1lIbt,1,113.2,3.56,-0.4,0.291,0.825,0.729,0,10,0.117,-7.632,0,0.325,96.845,0.436,0
Don Gibson,A Legend In My Time,7mnLFShI3TZacLb22s8w4Z,1,116.55,2.58,-1.7,0.885,0.536,0.299,3.20E-06,2,0.15,-12.108,1,0.0285,111.635,0.346,0
Nick Cave & The Bad Seeds,Still In Love,3whOZocb64S2DkRibyTLR6,1,106.37,3.34,0.2,0.284,0.408,0.305,0.000148,0,0.171,-11.291,1,0.0367,116.804,0.0566,0
G-Unit,Poppin' Them Thangs,4E5IFAXCob6QqZaJMTw5YN,1,104.13,4.17,1.1,0.263,0.769,0.818,0,6,0.0787,-1.385,0,0.192,88.017,0.918,0
Hank Locklin,Danny Boy,3xXpLksuYFu1P22eJtYYi0,1,102.61,4.4,1.7,0.823,0.332,0.219,0,7,0.109,-11.706,1,0.0285,92.683,0.387,0
Radiohead,Subterranean Homesick Alien,2CVV8PtUYYsux8XOzWkCP0,1,105.45,3.82,0.6,0.0484,0.312,0.595,0.00139,0,0.103,-8.919,1,0.0298,150.502,0.337,0
Dave Hollister,Tell Me Why,3YrpRrxV7PF3c5p3iK3hoB,1,103.93,3.96,1.2,0.268,0.538,0.541,0,6,0.14,-7.308,1,0.042,119.279,0.271,0
We Show Up On Radar,Red Balloon,1ARWKKWJwd0BUuDlRXyyOg,1,99.02,3.13,1,0.228,0.453,0.399,0.793,5,0.376,-11.147,0,0.029,79.378,0.0649,0
Tammy Wynette,Stand By Your Man,6xatfNMI8NkY5XxRHAeiS4,1,107.89,2.32,-0.4,0.788,0.517,0.246,0.00105,9,0.133,-11.992,1,0.0308,105.24,0.525,1
Enslavement Of Beauty,Ye That Tempteth_ Ye That Bequeth,0PxCJXPy0cCs94meqJSrXf,1,88.94,4.54,2.8,0.000233,0.502,0.811,0.0596,4,0.0892,-4.899,0,0.0341,119.979,0.144,0
Snow Patrol,Chocolate,3Kh58CfPsfIl8XkCEKWbNf,1,116.55,2.24,-1.7,0.000542,0.575,0.813,0.0032,2,0.131,-4.34,1,0.0318,118.161,0.422,0
Darwin Hobbs,You Are God (Broken Album Version),4aQ6YpmRV2fl8CgeAWBRuI,1,107.79,3.11,-0.4,0.702,0.381,0.382,0,8,0.108,-8.432,1,0.0579,145.989,0.244,0
The Box Tops,Neon Rainbow,1F898dzpPq7Erdd8pDgUad,1,100.24,2.72,0.5,0.771,0.56,0.339,0.000589,0,0.112,-12.303,1,0.0338,116.868,0.443,1
Astarte,Risen From Within,6RKsCqzlDxZcAyryDKEMKt,0,0,0,0,0.0282,0.535,0.67,0.0364,4,0.0936,-6.222,0,0.0236,80.903,0.265,0
Stevie Ray Vaughan And Double Trouble,Empty Arms,3LoSwP6htk35aV9wCM48w7,1,99.46,5.64,2.9,0.00525,0.347,0.78,0.00465,1,0.299,-10.823,0,0.112,147.855,0.669,0
DJ Spinn,Bounce Back,2mI20kUdIyOaAhtgeonE4g,0,0,0,0,0.0118,0.872,0.513,0.027,4,0.0856,-5.556,0,0.303,160.014,0.929,0
Terry Callier,Blues,0qDWYnO1vHapI3KrILt8nV,1,107.38,3.32,-0.3,0.155,0.608,0.626,0,7,0.0774,-6.77,1,0.0382,81.733,0.859,0
Novaspace,Guardian Angel,6W7cMmDjj1KmoC0P8vYFFt,1,114.52,3.37,-0.9,0.389,0.607,0.551,2.95E-05,2,0.0909,-7.146,1,0.0319,92.982,0.383,0
Semisonic,If I Run,4IT46qiV67e3rdeZQJWk3N,1,104.44,3.68,1,3.27E-05,0.508,0.822,0.223,9,0.0817,-7.238,1,0.0278,93.011,0.565,0
Roy Rogers,Hi Ho Silver,2T1kmuXDSepvo36kWaP5Ai,1,99.33,2.74,0.9,0.991,0.827,0.186,0.00311,5,0.104,-10.686,1,0.0728,121.935,0.751,0
Cracker,Shake Some Action,0Igv1GibayCiJ5WAQF4Ukn,1,115.74,2.56,-1.4,0.00305,0.564,0.763,0.00229,4,0.0884,-5.245,1,0.0277,136.182,0.632,0
Matisyahu,Exaltation,30eUwpiUQoWM2VJ6bdBzPM,1,97.2,4.76,1.7,0.075,0.662,0.625,2.66E-05,5,0.613,-8.104,1,0.0512,90.534,0.586,0
Alice In Chains,Brother,1vUQ9c2G2YsZU7dYhAKMhf,1,115.94,2.75,-1.5,0.557,0.405,0.365,0.00048,1,0.89,-10.927,1,0.0307,85.781,0.076,0
Eddie Money,Two Tickets To Paradise,22CIOfLZB9z8He7WgHYAgH,1,107.89,2.69,-0.4,0.0056,0.623,0.68,0.000425,2,0.148,-13.255,1,0.0282,129.713,0.737,1
Christina Aguilera,Walk Away,7sBxoj9SBNKxVIcLiFxnwQ,1,105.55,4.23,0.5,0.523,0.432,0.421,1.80E-06,4,0.608,-6.053,0,0.102,152.358,0.116,0
Goatwhore,Forever Consumed Oblivion,7wacuF6zZdef9i7YDoVs1F,1,82,7.72,3.4,1.40E-05,0.287,0.995,0.0492,10,0.162,-3.779,0,0.264,124.685,0.0646,0
Michael Jackson,HISTORY,1EdzLQKCE066beJkDfaagd,1,99.23,2.96,0.9,0.476,0.411,0.594,0,1,0.592,-7.74,1,0.14,92.35,0.453,0
3 Doors Down,Sarah Yellin',3TEAWiw3w0IAsoj4p3tJ7x,1,105.35,3.32,0.6,0.000105,0.521,0.873,2.68E-06,11,0.308,-5.206,1,0.0358,123.969,0.432,0
The Rapture,Killing,2fruvSNFF0yDdIUHtocnFR,1,116.04,2.44,-1.5,0.00141,0.537,0.862,0.194,1,0.279,-8.115,0,0.0616,119.797,0.262,0
Photo Atlas,Red Orange Yellow,4ZdJqHfV1w3TKngOnNIGwH,1,107.28,2.76,-0.2,0.00014,0.261,0.853,2.85E-05,9,0.112,-5.34,1,0.0715,167.796,0.449,0
Sade,Smooth Operator,1Hv1VTm8zeOeybub15mA2R,1,82.1,4.9,3.3,0.238,0.734,0.58,0.0006,9,0.0298,-6.619,0,0.0321,119.336,0.962,1
Dinosaur Jr,On The Brink,13OggkoCanZSYFiovWltzn,1,116.25,2.36,-1.6,0.00286,0.242,0.888,0.00516,7,0.197,-7.214,0,0.0663,109.807,0.612,0
Bad Azz,Ghetto,5oPqsivHuvf1AtqOS7vpJx,1,104.13,4.37,1.1,0.0044,0.712,0.747,0,11,0.0764,-4.376,0,0.266,179.683,0.373,0
Sir Douglas Quintet,She's About A Mover,5bveD2SoLJh6JPDyY9mfDJ,1,124.81,2.58,-2.8,0.193,0.65,0.715,1.85E-06,4,0.0495,-9.923,1,0.0299,88.944,0.88,1
Major Lance,Come See,7zMN7kB99o6zAbvDCoLoaD,1,115.74,2.82,-1.4,0.686,0.804,0.608,0,6,0.0353,-9.05,1,0.0361,119.611,0.894,1
Static-X,Love Dump (Demo Version),5rzTNHw2BHty2xtUZWjLPC,1,108.6,2.04,-0.7,0.000308,0.643,0.97,0.793,1,0.941,-4.478,1,0.112,129.93,0.498,0
The Panic Channel,Awake,0DBKFaXqpU8KbTA450Z6cu,1,125.32,2.7,-3,0.000114,0.501,0.952,0.216,9,0.114,-3.283,1,0.0606,147.911,0.485,0
Bad Azz,When You See Me,5W3wphA84tcJFbC4IputUF,1,96.28,4.2,2,0.415,0.551,0.78,0,1,0.319,-5.097,1,0.371,97.139,0.786,0
FU-Schnickens,Heavenly Father,1wuB5Lx4rWIYuzLWcYnS7G,1,83.96,7.19,4.7,0.014,0.808,0.517,8.32E-06,1,0.113,-12.659,1,0.184,102.752,0.396,0
Firehouse,Rock On The Radio,5O0GElfKOTJYHH1xsldWmp,1,108.09,2.4,-0.5,0.000132,0.534,0.787,0.0025,1,0.366,-10.579,0,0.0429,83.896,0.319,0
Cats In Boots,Shotgun Sally,18n5kMWdrmrEOuh9Qnh2Wf,1,115.03,2.84,-1.1,0.00324,0.278,0.949,0.0089,8,0.418,-5.295,1,0.079,167.358,0.512,0
Freddie King,Hide Away,1wPUZQCJhvCyOlEZIqSd5x,0,0,0,0,0.306,0.626,0.503,0.0778,9,0.128,-15.546,1,0.0385,131.117,0.816,0
Francis Dunnery,Grateful & Thankful,6wiWsnhdkT7ASVKLjQYoBL,1,98.21,4.12,1.3,0.312,0.5,0.742,0,5,0.336,-5.46,1,0.0437,126.295,0.661,0
Twista,Pop Pop,70yy2LITzwomb4J7UbTQa7,1,92.73,5.79,3.4,0.171,0.885,0.637,0,10,0.286,-9.783,0,0.42,127.938,0.858,0
4Him,Freedom,0sKMNyjlrkeyqwAvI2xGNj,1,106.37,3.49,0.2,0.125,0.666,0.769,0,4,0.0749,-10.739,0,0.0421,91.148,0.707,0
Morgion,Basking Under a Blacksun Dawning,0CZR8yshPIm6TY3Es8RTsb,1,100.34,2.78,0.5,8.43E-05,0.179,0.726,0.715,5,0.114,-7.467,1,0.0433,96.295,0.127,0
Danny Wilson,Never Gonna Be The Same,14jAgC6kvIbRwX6J7enWTq,1,107.38,2.96,-0.3,0.659,0.647,0.411,3.87E-05,11,0.189,-11.806,1,0.0291,91.176,0.827,0
Steve Vai,Brother,5JHC79SgRaDL2dgwuTAKS1,1,107.28,2.91,-0.2,0.534,0.5,0.528,1.00E-05,5,0.135,-7.46,1,0.0305,113.847,0.217,0
Wes King,Cover To Cover,7w6w4uBF54tlETmq3JsnbS,1,106.77,3.18,0.1,0.0174,0.703,0.63,0,7,0.298,-7.832,1,0.0304,118.185,0.766,0
Joe Satriani,Midnight,1ukRyVJ6HxDUeDrp9K9ak6,0,0,0,0,0.77,0.454,0.449,0.72,4,0.175,-12.272,0,0.0486,162.207,0.155,0
Utopia,Magic Dragon Theatre,2MVKxHIuhGij7fpPNKSxQx,1,98.11,3.69,1.3,0.825,0.652,0.465,0,5,0.168,-11.943,1,0.0285,98.467,0.488,0
Wolfmother,Dimension,7k5Gji7TdalcU7p0RjIaii,1,97.7,3.47,1.5,0.0186,0.484,0.749,0.0099,11,0.436,-4.17,0,0.0327,142.165,0.613,0
Suicidal Tendencies,It's Going Down,4Xu6pv1FcrMa2JJHJt2iLo,1,116.04,2.94,-1.5,0.000136,0.355,0.961,0.00637,9,0.129,-6.309,1,0.126,164.874,0.261,0
Schoolyard Heroes,I Want Your Soul For Christmas,07ZdhHzMKKcXcZuP3lqXMF,1,98.82,3.5,1.1,0.0035,0.568,0.881,0.00131,2,0.131,-6.557,0,0.057,131.931,0.388,0
Shriekback,Running On The Rocks,19zEsUUGNxjZeIAtf8KzaR,1,106.77,3.19,0.1,0.000177,0.435,0.635,0.135,5,0.229,-13.687,1,0.045,118.393,0.54,0
Luke Bryan,What Country Is,4VYLBtOHx9WYSFXHYnzVbN,1,104.84,3.52,0.8,0.0932,0.562,0.772,0,10,0.0873,-4.068,1,0.0362,148.126,0.77,0
The Fabulous Thunderbirds,Why Get Up,2chsLk0JdDfhKI2289DUnd,1,117.97,2.06,-2.3,0.317,0.722,0.681,3.65E-05,10,0.159,-12.804,1,0.0296,125.71,0.966,0
The Fabulous Thunderbirds,When I Get Home,709iG5Yx9UQyi8faAyGbkc,1,115.74,2.9,-1.4,0.389,0.506,0.346,0.000107,10,0.0515,-11.902,1,0.0386,133.453,0.628,0
Kathy Mattea,The Southern Soldier Boy,7pT8sWo7HaYlMPDBYt0dLo,1,107.99,2.6,-0.5,0.786,0.483,0.269,0,11,0.181,-12.193,0,0.0276,96.914,0.413,0
Symphony in Peril,Inherent Scars,7HaYNqQdeRsUULuTNabSWP,1,96.08,4.13,2.1,0.00104,0.496,0.658,0.754,11,0.116,-6.425,0,0.0371,99.986,0.0388,0
Usher,Trading Places,5yC7WplXvhIHsp8NBYV5dT,1,104.13,3.8,1.1,0.000153,0.696,0.643,1.03E-05,0,0.156,-5.218,1,0.0447,146.005,0.332,1
Gary Moore,Nothing's The Same,4JUg5TewzYIaK7PLyTX8Id,1,99.43,2.32,0.8,0.699,0.207,0.201,0.279,9,0.199,-17.184,0,0.0304,168.194,0.0787,0
Attack Attack,Outro,5FmCJ7Bj7DZyCwes8Pqzes,0,0,0,0,0.993,0.545,0.131,0.892,1,0.0985,-19.692,0,0.0399,100.06,0.0535,0
Mastodon,Megalodon,1rLDTmI8quVUsGy9mzrXBx,1,108.09,2.69,-0.5,3.50E-06,0.268,0.982,0.873,2,0.137,-6.778,1,0.0543,131.2,0.366,0
The Del McCoury Band,Asheville Turnaround,3AY6YPnTHAAiXLWStcoGho,1,116.45,3.09,-1.7,0.567,0.575,0.585,0,0,0.115,-8.054,0,0.0576,178.378,0.888,0
Jim Reeves,I Guess I'm Crazy,4GPbOUUbitW3e6aEVccrhf,1,113.51,3.44,-0.5,0.761,0.497,0.261,0.000291,4,0.363,-13.869,1,0.0273,93.636,0.616,1
Tom Cochrane,Washed Away,4EeOCXkDOlMR9lcXxF84UJ,1,109.24,5.34,1.2,0.345,0.635,0.746,0,5,0.295,-4.774,1,0.0343,88.072,0.759,1
The Cars,Drive,3wfujdbamR3Z46F4xav7LM,1,117.87,1.72,-2.2,0.124,0.582,0.606,0.00139,6,0.151,-9.961,1,0.0289,111.441,0.504,1
Salt The Wound,The Beginning,3ON7uFPiZBLhShbn1JTWCa,0,0,0,0,0.00045,0.394,0.927,0.827,10,0.161,-9.902,1,0.0828,145.015,0.304,0
Cut Copy,Future,1L44XODDvPjK4Tl9airKLy,1,115.94,2.48,-1.5,0.088,0.681,0.879,0.33,9,0.113,-8.976,0,0.0388,119.494,0.658,0
Small Faces,It's Too Late,73jdL8EmdH6DJmxXhZ7grG,1,116.55,2.24,-1.7,0.5,0.465,0.867,6.03E-06,2,0.0744,-3.82,1,0.0637,125.026,0.701,0
DJ Harry,Shadows,6isY9EIZbiD4KJw7GakjgG,0,0,0,0,0.102,0.624,0.678,0.0579,9,0.0864,-7.301,1,0.044,91.046,0.396,0
Chuck Wicks,If We Loved,5Fzjzxg8lxDG0mGU1WCMZw,1,107.48,2.87,-0.3,0.288,0.307,0.714,1.43E-05,1,0.11,-4.969,1,0.0395,198.155,0.301,0
Enter the Haggis,Widow's Walk,4oDhzQh98J84B3XxQt0YLz,1,107.08,3.45,-0.1,0.0622,0.387,0.534,0.000205,7,0.047,-10.516,0,0.0306,134.249,0.293,0
Scar Symmetry,Deviate From The Form,17mh54ovFWLJQKgFnpRnSP,1,90.05,3.99,2.4,6.21E-05,0.519,0.986,0.000328,3,0.365,-4.238,0,0.0531,119.984,0.452,0
Lifehouse,Better Luck Next Time,7rikx0wMqTGAp6wqTL6gcB,1,107.79,2.36,-0.4,0.000296,0.479,0.852,0,4,0.256,-3.894,1,0.028,81.988,0.543,0
Silverchair,The Door,58nHFSWj5N5JxNtWgS85TL,1,117.16,2,-1.9,0.000406,0.177,0.823,0.00537,7,0.242,-5.561,1,0.0604,184.26,0.363,0
B.B. King,Early In The Morning,4yB7ztqlQxCucl6TdkkXHL,1,105.96,3.08,0.4,0.169,0.626,0.657,4.25E-06,9,0.0742,-8.56,1,0.0315,84.329,0.745,0
Tyrone Wells,Baby Don't You Change,1xj9LJhjJqErXqcTfOjqD7,1,104.94,3.77,0.8,0.611,0.567,0.437,0,1,0.675,-8.144,0,0.237,69.588,0.64,0
Scar Symmetry,The Three-Dimensional Shadow,5zaYEQmgngRKiLRjNG2Rxg,1,105.96,3.66,0.4,1.62E-05,0.532,0.984,0.102,1,0.36,-3.435,1,0.101,110.03,0.384,0
Michael Jackson,Dirty Diana,4FC7GMnGwYeAjuvC83Srbs,1,116.65,2.4,-1.7,0.178,0.735,0.801,0.000408,3,0.324,-4.525,1,0.0437,131.425,0.331,1
OutKast,Call Of Da Wild,3HbreCF19wV7JsqoFRM4SH,1,103.83,4.27,1.2,0.031,0.75,0.794,0,9,0.0829,-6.521,1,0.351,177.786,0.579,0
Jim Reeves,I'd Like To Be,3ah2qdykIMzEknJu0hkykG,1,105.15,3.4,0.7,0.799,0.375,0.442,0,1,0.101,-9.434,1,0.075,86.187,0.463,0
Tsar,Conqueror Worm,1SYFFo2zJp3XE5wjvuuOkd,1,105.96,3.91,0.4,0.00154,0.374,0.946,3.82E-06,2,0.211,-2.276,1,0.0499,150.312,0.307,0
Ice,Time Will Tell,1aAzb3iJbATlvw625eLwmY,1,97.3,3.95,1.7,0.0431,0.784,0.928,0.0147,5,0.0455,-5.698,0,0.0449,110.98,0.839,0
Patti Smith,Wing,06DnSmvOXLxk1EHmNbhrN8,1,118.38,1.52,-2.4,0.837,0.188,0.265,0.319,2,0.133,-13.609,1,0.0301,141.867,0.0659,0
White Heart,Nothing But The Best,5DOuscDoHOEA0jk80WgiTT,1,107.58,2.89,-0.3,0.00681,0.39,0.956,0.0043,2,0.0737,-5.03,1,0.104,198.584,0.446,0
The Chap,Gimme Legs,2tDs2wcObXVPDj7ETLqXh2,1,132.56,2.6,-3.7,0.00542,0.766,0.563,0.202,2,0.243,-7.384,0,0.0348,120.158,0.823,0
Rainbow,Can't Happen Here,6c6PblxgdrYEULpt65p8tO,1,89.95,4.94,2.4,0.0517,0.483,0.89,0.000421,0,0.658,-6.736,1,0.048,155.663,0.666,0
Paul Cantelon,Mary In Labor,4eFavGn8KQQxRlST00X7WW,0,0,0,0,0.873,0.134,0.204,0.929,4,0.155,-20.778,1,0.0357,99.12,0.0356,0
David Banner,Bush,6XwKtXYeF9o9VAc2A3F1BX,1,102.91,4.28,1.6,0.015,0.685,0.9,0,1,0.357,-4.537,1,0.0739,132.826,0.886,0
Adam Ant,Friend Or Foe,2TVutF2Xy9R6PLVQ5jEEUs,1,98.62,3.5,1.1,0.226,0.535,0.97,8.62E-06,9,0.578,-3.396,1,0.0986,91.89,0.669,0
The Rapture,The Devil,0BI9HiASJDLk1RzT0BhBtC,1,107.28,2.56,-0.2,2.63E-06,0.635,0.822,0.0653,1,0.0773,-6.363,1,0.0284,119.849,0.415,0
Neil Diamond,Song Sung Blue,4FZ8wtTaOAbYvyChBt4GEQ,1,107.08,2.64,-0.1,0.467,0.556,0.327,1.32E-05,0,0.318,-15.612,1,0.0311,108.913,0.327,1
45 Grave,Party Time,2PFlmJYbOwE7J8K5T4R3cr,1,100.24,2.78,0.5,0.00051,0.49,0.815,0.000454,8,0.513,-5.569,1,0.0335,127.988,0.611,0
Mighty Mighty Bosstones,Patricia,6jUjqYHEeApke7unx1i7Up,1,114.93,3.03,-1.1,1.53E-06,0.312,0.913,0.71,1,0.0573,-9.63,1,0.0418,98.667,0.599,0
Michael Jackson,We're Almost There,5kazs4V71SpcTVUTcorIyJ,1,109,1.88,-0.9,0.0989,0.573,0.853,0,11,0.299,-9.047,1,0.071,93.524,0.776,1
John Wayne,Call The Police,4beK2jBm6gr5NP2pXEn1Bm,1,97.5,4.07,1.6,0.296,0.887,0.718,0,2,0.0906,-8.298,1,0.0853,81.121,0.879,0
Don Campbell,Unchain Us,4ceuQLYYFId6Fm7TsTzxNr,1,116.25,3.34,-1.6,0.142,0.608,0.597,0,5,0.118,-7.299,0,0.0743,78.942,0.474,0
Be Bop Deluxe,Between The Worlds,465b97HSzhPSjySLeDVMGP,1,115.03,3.14,-1.1,0.00517,0.263,0.888,0.0199,9,0.312,-8.28,0,0.0754,144.396,0.547,0
